distribution,sign,shock,variable,time,value
Gaussian,neg,eta_a,ahat,1,-0.0299998109627886
Gaussian,neg,eta_a,ahat,2,-0.0271438289591312
Gaussian,neg,eta_a,ahat,3,-0.0245597364422219
Gaussian,neg,eta_a,ahat,4,-0.0222216495329224
Gaussian,neg,eta_a,ahat,5,-0.0201061484973882
Gaussian,neg,eta_a,ahat,6,-0.0181920431604368
Gaussian,neg,eta_a,ahat,7,-0.0164601606515632
Gaussian,neg,eta_a,ahat,8,-0.0148931533575344
Gaussian,neg,eta_a,ahat,9,-0.0134753251578971
Gaussian,neg,eta_a,ahat,10,-0.0121924742028653
Gaussian,neg,eta_a,ahat,11,-0.0110317506587526
Gaussian,neg,eta_a,ahat,12,-0.00998152799603932
Gaussian,neg,eta_a,ahat,13,-0.00903128653081638
Gaussian,neg,eta_a,ahat,14,-0.00817150805308266
Gaussian,neg,eta_a,ahat,15,-0.0073935804864292
Gaussian,neg,eta_a,ehat,1,1.32739987512237e-19
Gaussian,neg,eta_a,ehat,2,1.42577316418675e-18
Gaussian,neg,eta_a,ehat,3,2.63120214916891e-18
Gaussian,neg,eta_a,ehat,4,3.74091947221607e-18
Gaussian,neg,eta_a,ehat,5,4.75319571425659e-18
Gaussian,neg,eta_a,ehat,6,5.67017507962796e-18
Gaussian,neg,eta_a,ehat,7,6.49625131987589e-18
Gaussian,neg,eta_a,ehat,8,7.23702300385955e-18
Gaussian,neg,eta_a,ehat,9,7.89862927237156e-18
Gaussian,neg,eta_a,ehat,10,8.487334770448e-18
Gaussian,neg,eta_a,ehat,11,9.00927712267298e-18
Gaussian,neg,eta_a,ehat,12,9.470319850887e-18
Gaussian,neg,eta_a,ehat,13,9.87597315392779e-18
Gaussian,neg,eta_a,ehat,14,1.02313578655509e-17
Gaussian,neg,eta_a,ehat,15,1.05411964224277e-17
Gaussian,neg,eta_a,zhat,1,0
Gaussian,neg,eta_a,zhat,2,4.57774648560706e-19
Gaussian,neg,eta_a,zhat,3,3.42330058434709e-19
Gaussian,neg,eta_a,zhat,4,2.6219098499952e-19
Gaussian,neg,eta_a,zhat,5,2.05769346258628e-19
Gaussian,neg,eta_a,zhat,6,1.65363833646571e-19
Gaussian,neg,eta_a,zhat,7,1.35848069720299e-19
Gaussian,neg,eta_a,zhat,8,1.13802316664245e-19
Gaussian,neg,eta_a,zhat,9,9.69386904345919e-20
Gaussian,neg,eta_a,zhat,10,8.37206000596182e-20
Gaussian,neg,eta_a,zhat,11,7.31107204380933e-20
Gaussian,neg,eta_a,zhat,12,6.44040313312697e-20
