distribution,sign,shock,variable,time,value
Gaussian,neg,eta_a,ahat,1,-0.0299998109627886
Gaussian,neg,eta_a,ahat,2,-0.0271438289591312
Gaussian,neg,eta_a,ahat,3,-0.0245597364422219
Gaussian,neg,eta_a,ahat,4,-0.0222216495329224
Gaussian,neg,eta_a,ahat,5,-0.0201061484973882
Gaussian,neg,eta_a,ahat,6,-0.0181920431604369
Gaussian,neg,eta_a,ahat,7,-0.0164601606515633
Gaussian,neg,eta_a,ahat,8,-0.0148931533575345
Gaussian,neg,eta_a,ahat,9,-0.0134753251578972
Gaussian,neg,eta_a,ahat,10,-0.0121924742028654
Gaussian,neg,eta_a,ahat,11,-0.0110317506587526
Gaussian,neg,eta_a,ahat,12,-0.00998152799603938
Gaussian,neg,eta_a,ahat,13,-0.00903128653081644
Gaussian,neg,eta_a,ahat,14,-0.00817150805308272
Gaussian,neg,eta_a,ahat,15,-0.00739358048642925
Gaussian,neg,eta_a,ehat,1,-2.5441830939846e-19
Gaussian,neg,eta_a,ehat,2,-5.37305622080691e-18
Gaussian,neg,eta_a,ehat,3,-9.80641995236883e-18
Gaussian,neg,eta_a,ehat,4,-1.36723922012623e-17
Gaussian,neg,eta_a,ehat,5,-1.70599544135731e-17
Gaussian,neg,eta_a,ehat,6,-2.00379185360581e-17
Gaussian,neg,eta_a,ehat,7,-2.26608040762368e-17
Gaussian,neg,eta_a,ehat,8,-2.4972816860498e-17
Gaussian,neg,eta_a,ehat,9,-2.70105631907707e-17
Gaussian,neg,eta_a,ehat,10,-2.88049195063862e-17
Gaussian,neg,eta_a,ehat,11,-3.03823362551037e-17
Gaussian,neg,eta_a,ehat,12,-3.17657610475152e-17
Gaussian,neg,eta_a,ehat,13,-3.29753041550213e-17
Gaussian,neg,eta_a,ehat,14,-3.40287283222332e-17
Gaussian,neg,eta_a,ehat,15,-3.49418176256544e-17
Gaussian,neg,eta_a,zhat,1,4.59985126509895e-19
Gaussian,neg,eta_a,zhat,2,-2.42035071396243e-18
Gaussian,neg,eta_a,zhat,3,-2.24165726857269e-18
Gaussian,neg,eta_a,zhat,4,-2.06247474597398e-18
Gaussian,neg,eta_a,zhat,5,-1.88877103109499e-18
Gaussian,neg,eta_a,zhat,6,-1.72394239774456e-18
Gaussian,neg,eta_a,zhat,7,-1.56973619556826e-18
Gaussian,neg,eta_a,zhat,8,-1.42685634138185e-18
Gaussian,neg,eta_a,zhat,9,-1.29535941399245e-18
Gaussian,neg,eta_a,zhat,10,-1.17491263263099e-18
Gaussian,neg,eta_a,zhat,11,-1.06496084057821e-18
