distribution,sign,shock,variable,time,value
Gaussian,neg,eta_a,ghat,1,-0.0038874538547406
Gaussian,neg,eta_a,ghat,2,0.000980363413101298
Gaussian,neg,eta_a,ghat,3,0.000680546532929341
Gaussian,neg,eta_a,ghat,4,0.00047913644345238
Gaussian,neg,eta_a,ghat,5,0.000343126396908066
Gaussian,neg,eta_a,ghat,6,0.000250649900800634
Gaussian,neg,eta_a,ghat,7,0.000187214053831638
Gaussian,neg,eta_a,ghat,8,0.000143207075790407
Gaussian,neg,eta_a,ghat,9,0.000112248934147077
Gaussian,neg,eta_a,ghat,10,9.0099828731677e-05
Gaussian,neg,eta_a,ghat,11,7.39378037572869e-05
Gaussian,neg,eta_a,ghat,12,6.18806112668313e-05
Gaussian,neg,eta_a,ghat,13,5.26691999287592e-05
Gaussian,neg,eta_a,ghat,14,4.54581579605365e-05
Gaussian,neg,eta_a,ghat,15,3.96769354875453e-05
Gaussian,neg,eta_a,rhat,1,-0.0020398507483149
Gaussian,neg,eta_a,rhat,2,-0.00193509018584595
Gaussian,neg,eta_a,rhat,3,-0.0018100432736495
Gaussian,neg,eta_a,rhat,4,-0.00167687953262906
Gaussian,neg,eta_a,rhat,5,-0.00154314585022932
Gaussian,neg,eta_a,rhat,6,-0.00141337862482565
Gaussian,neg,eta_a,rhat,7,-0.0012901658665188
Gaussian,neg,eta_a,rhat,8,-0.00117484579629323
Gaussian,neg,eta_a,rhat,9,-0.00106796532790868
Gaussian,neg,eta_a,rhat,10,-0.000969580032499344
Gaussian,neg,eta_a,rhat,11,-0.00087944954270111
Gaussian,neg,eta_a,rhat,12,-0.000797164066212686
Gaussian,neg,eta_a,rhat,13,-0.000722225582048993
Gaussian,neg,eta_a,rhat,14,-0.000654099291621261
Gaussian,neg,eta_a,rhat,15,-0.000592245605213952
Gaussian,neg,eta_a,rAnnualized,1,-0.0081594029932596
Gaussian,neg,eta_a,rAnnualized,2,-0.00774036074338381
Gaussian,neg,eta_a,rAnnualized,3,-0.00724017309459798
Gaussian,neg,eta_a,rAnnualized,4,-0.00670751813051625
Gaussian,neg,eta_a,rAnnualized,5,-0.00617258340091726
Gaussian,neg,eta_a,rAnnualized,6,-0.0056535144993026
Gaussian,neg,eta_a,rAnnualized,7,-0.0051606634660752
Gaussian,neg,eta_a,rAnnualized,8,-0.00469938318517292
Gaussian,neg,eta_a,rAnnualized,9,-0.00427186131163471
Gaussian,neg,eta_a,rAnnualized,10,-0.00387832012999738
Gaussian,neg,eta_a,rAnnualized,11,-0.00351779817080444
Gaussian,neg,eta_a,rAnnualized,12,-0.00318865626485074
Gaussian,neg,eta_a,rAnnualized,13,-0.00288890232819597
Gaussian,neg,eta_a,rAnnualized,14,-0.00261639716648504
Gaussian,neg,eta_a,rAnnualized,15,-0.00236898242085581
Gaussian,neg,eta_a,piAnnualized,1,-0.00150814527984556
Gaussian,neg,eta_a,piAnnualized,2,-0.000656928631034878
Gaussian,neg,eta_a,piAnnualized,3,-0.000126176807464035
Gaussian,neg,eta_a,piAnnualized,4,0.000195628768790575
Gaussian,neg,eta_a,piAnnualized,5,0.00038198042398832
Gaussian,neg,eta_a,piAnnualized,6,0.000481238343685615
Gaussian,neg,eta_a,piAnnualized,7,0.000525159320865193
Gaussian,neg,eta_a,piAnnualized,8,0.000534537406878463
Gaussian,neg,eta_a,piAnnualized,9,0.000522933876787887
Gaussian,neg,eta_a,piAnnualized,10,0.000499143193565823
Gaussian,neg,eta_a,piAnnualized,11,0.000468822831424611
Gaussian,neg,eta_a,piAnnualized,12,0.000435570034981226
Gaussian,neg,eta_a,piAnnualized,13,0.000401632796326009
Gaussian,neg,eta_a,piAnnualized,14,0.000368378950896773
Gaussian,neg,eta_a,piAnnualized,15,0.000336605358178671
Gaussian,neg,eta_e,ahat,1,-9.07558415814266e-20
Gaussian,neg,eta_e,ahat,2,5.38639444716274e-19
Gaussian,neg,eta_e,ahat,3,1.19121575841045e-18
Gaussian,neg,eta_e,ahat,4,1.83392361259503e-18
Gaussian,neg,eta_e,ahat,5,2.44732073479911e-18
Gaussian,neg,eta_e,ahat,6,3.02073699854857e-18
Gaussian,neg,eta_e,ahat,7,3.54909729311396e-18
Gaussian,neg,eta_e,ahat,8,4.0308392767057e-18
Gaussian,neg,eta_e,ahat,9,4.46655366624045e-18
Gaussian,neg,eta_e,ahat,10,4.85810088005517e-18
Gaussian,neg,eta_e,ahat,11,5.20804130893527e-18
Gaussian,neg,eta_e,ahat,12,5.51927169608862e-18
Gaussian,neg,eta_e,ahat,13,5.79479661930845e-18
Gaussian,neg,eta_e,ahat,14,6.03758821448714e-18
Gaussian,neg,eta_e,ahat,15,6.25050324432588e-18
Gaussian,neg,eta_e,ehat,1,-0.000246625555036019
Gaussian,neg,eta_e,ehat,2,-0.000244331937374183
Gaussian,neg,eta_e,ehat,3,-0.000242059650356603
Gaussian,neg,eta_e,ehat,4,-0.000239808495608286
Gaussian,neg,eta_e,ehat,5,-0.000237578276599129
Gaussian,neg,eta_e,ehat,6,-0.000235368798626757
Gaussian,neg,eta_e,ehat,7,-0.000233179868799528
Gaussian,neg,eta_e,ehat,8,-0.000231011296019693
Gaussian,neg,eta_e,ehat,9,-0.00022886289096671
Gaussian,neg,eta_e,ehat,10,-0.000226734466080719
Gaussian,neg,eta_e,ehat,11,-0.000224625835546169
Gaussian,neg,eta_e,ehat,12,-0.000222536815275589
Gaussian,neg,eta_e,ehat,13,-0.000220467222893526
Gaussian,neg,eta_e,ehat,14,-0.000218416877720617
Gaussian,neg,eta_e,ehat,15,-0.000216385600757815
Gaussian,neg,eta_e,zhat,1,-2.45797070949697e-20
Gaussian,neg,eta_e,zhat,2,-4.45099502177887e-20
Gaussian,neg,eta_e,zhat,3,-3.54663269214605e-20
Gaussian,neg,eta_e,zhat,4,-2.94266446618221e-20
Gaussian,neg,eta_e,zhat,5,-2.53750463008666e-20
Gaussian,neg,eta_e,zhat,6,-2.26393831057975e-20
Gaussian,neg,eta_e,zhat,7,-2.07749217379877e-20
Gaussian,neg,eta_e,zhat,8,-1.94873987507615e-20
Gaussian,neg,eta_e,zhat,9,-1.85821094445684e-20
Gaussian,neg,eta_e,zhat,10,-1.79302224064499e-20
Gaussian,neg,eta_e,zhat,11,-1.74464914577478e-20
Gaussian,neg,eta_e,zhat,12,-1.7074508719621e-20
Gaussian,neg,eta_e,zhat,13,-1.67769472741477e-20
Gaussian,neg,eta_e,zhat,14,-1.65291052012619e-20
Gaussian,neg,eta_e,zhat,15,-1.63146339775751e-20
Gaussian,neg,eta_e,xhat,1,-7.26733515922349e-06
Gaussian,neg,eta_e,xhat,2,-0.000757315291399638
Gaussian,neg,eta_e,xhat,3,-0.00124658769813626
Gaussian,neg,eta_e,xhat,4,-0.00156338252876916
Gaussian,neg,eta_e,xhat,5,-0.0017661217075389
Gaussian,neg,eta_e,xhat,6,-0.00189345961703303
Gaussian,neg,eta_e,xhat,7,-0.00197097141220835
Gaussian,neg,eta_e,xhat,8,-0.00201557835659975
Gaussian,neg,eta_e,xhat,9,-0.00203847585476341
Gaussian,neg,eta_e,xhat,10,-0.00204707079070909
Gaussian,neg,eta_e,xhat,11,-0.00204626337167248
Gaussian,neg,eta_e,xhat,12,-0.00203929526254384
Gaussian,neg,eta_e,xhat,13,-0.00202831075564823
Gaussian,neg,eta_e,xhat,14,-0.00201472806979653
Gaussian,neg,eta_e,xhat,15,-0.0019994850209915
Gaussian,neg,eta_e,pihat,1,0.00159453032656419
Gaussian,neg,eta_e,pihat,2,0.00136225404549909
Gaussian,neg,eta_e,pihat,3,0.00120571074471199
Gaussian,neg,eta_e,pihat,4,0.00109930289310001
Gaussian,neg,eta_e,pihat,5,0.00102609358623095
