distribution,type,parameter,x,density
posterior,deep,OMEGA,-0.10434573490818,3.60822483003176e-16
posterior,deep,OMEGA,-0.10272494628373,2.67147415300428e-16
posterior,deep,OMEGA,-0.101104157659281,2.56739074444567e-16
posterior,deep,OMEGA,-0.0994833690348314,5.13478148889135e-16
posterior,deep,OMEGA,-0.097862580410382,1.80411241501588e-16
posterior,deep,OMEGA,-0.0962417917859325,-8.67361737988404e-18
posterior,deep,OMEGA,-0.0946210031614831,-1.80411241501588e-16
posterior,deep,OMEGA,-0.0930002145370337,1.71737624121704e-16
posterior,deep,OMEGA,-0.0913794259125842,6.12357387019813e-16
posterior,deep,OMEGA,-0.0897586372881348,1.6826817716975e-16
posterior,deep,OMEGA,-0.0881378486636854,1.38777878078145e-16
posterior,deep,OMEGA,-0.086517060039236,-3.15719672627779e-16
posterior,deep,OMEGA,-0.0848962714147865,4.85722573273506e-17
posterior,deep,OMEGA,-0.0832754827903371,4.26741975090295e-16
posterior,deep,OMEGA,-0.0816546941658877,5.82867087928207e-16
posterior,deep,OMEGA,-0.0800339055414382,2.67147415300428e-16
posterior,deep,OMEGA,-0.0784131169169888,2.68882138776405e-16
posterior,deep,OMEGA,-0.0767923282925394,5.82867087928207e-16
posterior,deep,OMEGA,-0.0751715396680899,2.4980018054066e-16
posterior,deep,OMEGA,-0.0735507510436405,2.09901540593194e-16
posterior,deep,OMEGA,-0.0719299624191911,3.46944695195361e-17
posterior,deep,OMEGA,-0.0703091737947417,2.42861286636753e-17
posterior,deep,OMEGA,-0.0686883851702922,1.89084858881472e-16
posterior,deep,OMEGA,-0.0670675965458428,1.61329283265843e-16
posterior,deep,OMEGA,-0.0654468079213933,6.56592835657221e-16
posterior,deep,OMEGA,-0.0638260192969439,3.79037079500932e-16
posterior,deep,OMEGA,-0.0622052306724945,6.93889390390723e-17
posterior,deep,OMEGA,-0.0605844420480451,3.46944695195361e-18
posterior,deep,OMEGA,-0.0589636534235956,2.08166817117217e-16
posterior,deep,OMEGA,-0.0573428647991462,2.48065457064683e-16
posterior,deep,OMEGA,-0.0557220761746968,7.61543605953818e-16
