distribution,type,parameter,x,density
posterior,deep,OMEGA,-0.139667305214938,-1.11022302462516e-16
posterior,deep,OMEGA,-0.138295761995163,5.55111512312578e-16
posterior,deep,OMEGA,-0.136924218775387,2.22044604925031e-16
posterior,deep,OMEGA,-0.135552675555612,-1.11022302462516e-16
posterior,deep,OMEGA,-0.134181132335836,-5.55111512312578e-17
posterior,deep,OMEGA,-0.132809589116061,1.66533453693773e-16
posterior,deep,OMEGA,-0.131438045896285,-1.11022302462516e-16
posterior,deep,OMEGA,-0.13006650267651,-5.55111512312578e-17
posterior,deep,OMEGA,-0.128694959456735,-6.93889390390723e-17
posterior,deep,OMEGA,-0.127323416236959,3.40005801291454e-16
posterior,deep,OMEGA,-0.125951873017184,-9.36750677027476e-17
posterior,deep,OMEGA,-0.124580329797408,-3.12250225675825e-17
posterior,deep,OMEGA,-0.123208786577633,2.53269627492614e-16
posterior,deep,OMEGA,-0.121837243357857,2.0122792321331e-16
posterior,deep,OMEGA,-0.120465700138082,-3.71230823859037e-16
posterior,deep,OMEGA,-0.119094156918306,-4.44089209850063e-16
posterior,deep,OMEGA,-0.117722613698531,-2.08166817117217e-17
posterior,deep,OMEGA,-0.116351070478755,3.53883589099269e-16
posterior,deep,OMEGA,-0.11497952725898,-9.71445146547012e-17
posterior,deep,OMEGA,-0.113607984039204,4.16333634234434e-17
posterior,deep,OMEGA,-0.112236440819429,2.77555756156289e-17
posterior,deep,OMEGA,-0.110864897599653,4.37150315946155e-16
posterior,deep,OMEGA,-0.109493354379878,2.08166817117217e-16
posterior,deep,OMEGA,-0.108121811160102,-1.59594559789866e-16
posterior,deep,OMEGA,-0.106750267940327,-3.05311331771918e-16
posterior,deep,OMEGA,-0.105378724720551,4.02455846426619e-16
posterior,deep,OMEGA,-0.104007181500776,3.2612801348364e-16
posterior,deep,OMEGA,-0.102635638281,9.71445146547012e-17
posterior,deep,OMEGA,-0.101264095061225,2.4980018054066e-16
posterior,deep,OMEGA,-0.0998925518414492,5.96744875736022e-16
posterior,deep,OMEGA,-0.0985210086216737,-2.08166817117217e-16
posterior,deep,OMEGA,-0.0971494654018983,0
posterior,deep,OMEGA,-0.0957779221821227,-6.66133814775094e-16
posterior,deep,OMEGA,-0.0944063789623473,2.77555756156289e-16
posterior,deep,OMEGA,-0.0930348357425718,-2.77555756156289e-17
posterior,deep,OMEGA,-0.0916632925227963,-1.45716771982052e-16
posterior,deep,OMEGA,-0.0902917493030208,-4.85722573273506e-17
posterior,deep,OMEGA,-0.0889202060832453,2.15105711021124e-16
posterior,deep,OMEGA,-0.0875486628634698,-5.55111512312578e-17
posterior,deep,OMEGA,-0.0861771196436943,-6.90419943438769e-16
posterior,deep,OMEGA,-0.0848055764239188,-1.52655665885959e-16
posterior,deep,OMEGA,-0.0834340332041433,1.38777878078145e-17
posterior,deep,OMEGA,-0.0820624899843679,-3.53883589099269e-16
posterior,deep,OMEGA,-0.0806909467645924,-2.56739074444567e-16
posterior,deep,OMEGA,-0.0793194035448169,-2.39391839684799e-16
posterior,deep,OMEGA,-0.0779478603250414,-9.0205620750794e-17
posterior,deep,OMEGA,-0.0765763171052659,-4.09394740330526e-16
posterior,deep,OMEGA,-0.0752047738854904,-2.94902990916057e-16
posterior,deep,OMEGA,-0.0738332306657149,-1.90819582357449e-16
posterior,deep,OMEGA,-0.0724616874459394,5.41233724504764e-16
posterior,deep,OMEGA,-0.0710901442261639,-3.05311331771918e-16
posterior,deep,OMEGA,-0.0697186010063884,2.42861286636753e-16
posterior,deep,OMEGA,-0.0683470577866129,-1.2490009027033e-16
posterior,deep,OMEGA,-0.0669755145668375,4.1286418728248e-16
posterior,deep,OMEGA,-0.065603971347062,-8.32667268468867e-17
posterior,deep,OMEGA,-0.0642324281272865,-1.11022302462516e-16
posterior,deep,OMEGA,-0.062860884907511,1.11022302462516e-16
posterior,deep,OMEGA,-0.0614893416877355,1.49186218934005e-16
posterior,deep,OMEGA,-0.06011779846796,-7.28583859910259e-17
posterior,deep,OMEGA,-0.0587462552481845,-3.64291929955129e-16
posterior,deep,OMEGA,-0.057374712028409,-4.09394740330526e-16
posterior,deep,OMEGA,-0.0560031688086335,-5.41233724504764e-16
posterior,deep,OMEGA,-0.054631625588858,-4.16333634234434e-17
posterior,deep,OMEGA,-0.0532600823690826,2.46330733588707e-16
posterior,deep,OMEGA,-0.0518885391493071,-9.71445146547012e-17
posterior,deep,OMEGA,-0.0505169959295316,-3.46944695195361e-18
posterior,deep,OMEGA,-0.0491454527097561,-3.46944695195361e-18
posterior,deep,OMEGA,-0.0477739094899806,1.66533453693773e-16
posterior,deep,OMEGA,-0.0464023662702051,-2.42861286636753e-16
posterior,deep,OMEGA,-0.0450308230504296,1.35308431126191e-16
posterior,deep,OMEGA,-0.0436592798306541,-2.34187669256869e-16
posterior,deep,OMEGA,-0.0422877366108786,2.42861286636753e-17
posterior,deep,OMEGA,-0.0409161933911031,2.60208521396521e-17
posterior,deep,OMEGA,-0.0395446501713276,1.82145964977565e-16
posterior,deep,OMEGA,-0.0381731069515522,2.94902990916057e-17
posterior,deep,OMEGA,-0.0368015637317767,1.6306400674182e-16
posterior,deep,OMEGA,-0.0354300205120012,4.33680868994202e-17
posterior,deep,OMEGA,-0.0340584772922257,6.956241138667e-16
posterior,deep,OMEGA,-0.0326869340724502,3.16933979060963e-15
posterior,deep,OMEGA,-0.0313153908526747,2.33701946683595e-14
posterior,deep,OMEGA,-0.0299438476328992,1.7530941975874e-13
posterior,deep,OMEGA,-0.0285723044131237,1.18756914024853e-12
posterior,deep,OMEGA,-0.0272007611933482,7.39571424934748e-12
posterior,deep,OMEGA,-0.0258292179735727,4.22657776832924e-11
posterior,deep,OMEGA,-0.0244576747537972,2.21724000271095e-10
posterior,deep,OMEGA,-0.0230861315340218,1.06804125699772e-09
posterior,deep,OMEGA,-0.0217145883142463,4.72572223020329e-09
posterior,deep,OMEGA,-0.0203430450944708,1.92150691608051e-08
posterior,deep,OMEGA,-0.0189715018746953,7.1835526952238e-08
posterior,deep,OMEGA,-0.0175999586549198,2.47084377466046e-07
posterior,deep,OMEGA,-0.0162284154351443,7.82561270869578e-07
posterior,deep,OMEGA,-0.0148568722153688,2.28462896521495e-06
posterior,deep,OMEGA,-0.0134853289955933,6.15642388370006e-06
posterior,deep,OMEGA,-0.0121137857758178,1.53401758032096e-05
posterior,deep,OMEGA,-0.0107422425560424,3.54275723011914e-05
posterior,deep,OMEGA,-0.00937069933626686,7.60696960681829e-05
posterior,deep,OMEGA,-0.00799915611649138,0.000152482522511477
posterior,deep,OMEGA,-0.0066276128967159,0.000286864520888221
posterior,deep,OMEGA,-0.00525606967694039,0.000509915180427168
posterior,deep,OMEGA,-0.00388452645716492,0.000863362699940039
posterior,deep,OMEGA,-0.00251298323738941,0.00140505580198048
posterior,deep,OMEGA,-0.00114144001761393,0.00221801524868057
posterior,deep,OMEGA,0.000230103202161575,0.00342338878277947
posterior,deep,OMEGA,0.00160164642193705,0.00519492238116401
posterior,deep,OMEGA,0.00297318964171256,0.00777067632021569
posterior,deep,OMEGA,0.00434473286148804,0.0114575543359141
posterior,deep,OMEGA,0.00571627608126352,0.0166257953276184
posterior,deep,OMEGA,0.00708781930103902,0.023692501139085
posterior,deep,OMEGA,0.0084593625208145,0.0330941141316316
posterior,deep,OMEGA,0.00983090574059001,0.0452477999545062
posterior,deep,OMEGA,0.0112024489603655,0.0605031192029464
posterior,deep,OMEGA,0.012573992180141,0.0790902608965316
posterior,deep,OMEGA,0.0139455353999165,0.101078716309333
posterior,deep,OMEGA,0.0153170786196919,0.126366077160206
posterior,deep,OMEGA,0.0166886218394675,0.154714526850647
posterior,deep,OMEGA,0.0180601650592429,0.185839273876673
posterior,deep,OMEGA,0.0194317082790184,0.219532143313494
posterior,deep,OMEGA,0.0208032514987939,0.255785133730498
posterior,deep,OMEGA,0.0221747947185694,0.294874714797508
posterior,deep,OMEGA,0.0235463379383449,0.337382592708155
posterior,deep,OMEGA,0.0249178811581204,0.384154578836921
posterior,deep,OMEGA,0.0262894243778959,0.436218773119389
posterior,deep,OMEGA,0.0276609675976714,0.494683258807873
posterior,deep,OMEGA,0.0290325108174469,0.560614301822024
posterior,deep,OMEGA,0.0304040540372224,0.634880891479233
posterior,deep,OMEGA,0.0317755972569979,0.717967138237783
posterior,deep,OMEGA,0.0331471404767733,0.809804159203517
posterior,deep,OMEGA,0.0345186836965488,0.90972124397319
posterior,deep,OMEGA,0.0358902269163243,1.01660515167471
posterior,deep,OMEGA,0.0372617701360998,1.12926053153326
posterior,deep,OMEGA,0.0386333133558753,1.24683075486291
posterior,deep,OMEGA,0.0400048565756508,1.36906753904762
posterior,deep,OMEGA,0.0413763997954263,1.49630310971223
posterior,deep,OMEGA,0.0427479430152018,1.62915132336266
posterior,deep,OMEGA,0.0441194862349773,1.76812186506594
