************************************************************
             mc_replic: 2400
             prune_tol: [0 1.000000000000000e-06 1.000000000000000e-04 0.010000000000000]
           data_burnin: 100
              x_burnin: 20
         Harvey_factor: 10
              loss_fct: [1×1 struct]
           cdfmvna_fct: "logmvncdf_ME"
               poolobj: [1×1 parallel.ProcessPool]
    physical_cores_nbr: 8
         computer_arch: 'maca64'
         parameter_set: 'DGP2'
              seed_nbr: 1.936362161000000e+09
           sample_size: 40
              filename: 'results_state_estimation_DGP2_T40_R2400_maca64'
               logfile: 'results/results_state_estimation_DGP2_T40_R2400_maca64.log'

************************************************************
Parameter Matrix G:
   0.537300000000000   0.263400000000000   0.102900000000000  -0.164900000000000
   0.201700000000000   0.581200000000000   0.322700000000000  -0.088600000000000
   0.119600000000000  -0.074900000000000   0.837100000000000   0.153000000000000
  -0.025100000000000  -0.028100000000000   0.019700000000000   0.352400000000000

Parameter Matrix F:
  -0.239100000000000  -0.169000000000000   0.074700000000000  -0.667600000000000
  -1.033900000000000  -0.888200000000000   0.599700000000000  -1.225600000000000
  -0.258800000000000  -0.525800000000000   1.031000000000000  -1.740200000000000

Parameter Matrix R:
     1     0     0     0
     0     1     0     0
     0     0     1     0
     0     0     0     1

Parameter Matrix mu_eps:
  -0.656900000000000
  -1.020100000000000
   0.744200000000000

Parameter Matrix Sigma_eps:
   1.0e-06 *

   0.577600000000000  -0.228000000000000  -0.091200000000000
  -0.228000000000000   0.525600000000000   0.425400000000000
  -0.091200000000000   0.425400000000000   0.430100000000000

Parameter Matrix mu_eta:
   0.785400000000000
  -1.487000000000000
  -0.070400000000000
  -0.676100000000000

Parameter Matrix Sigma_eta:
   0.005625000000000  -0.002625000000000  -0.046950000000000  -0.024225000000000
  -0.002625000000000   0.036946000000000   0.055552000000000   0.038710000000000
  -0.046950000000000   0.055552000000000   1.542924000000000  -0.305224000000000
  -0.024225000000000   0.038710000000000  -0.305224000000000   0.408611000000000

Parameter Matrix nu_eta:
     0
     0
     0
     0

Parameter Matrix Gamma_eta:
  41.833760994884727  -5.071538781670152   2.339524325024803   4.598162859417349
  -5.071538781670332   5.954231316364762  -0.571119358456840  -1.160646197129784
   2.339524325024809  -0.571119358456831   0.898979711057306   0.497112373889859
   4.598162859417370  -1.160646197129768   0.497112373889859   2.085990141138555

Parameter Matrix Delta_eta:
   0.207900000000000                   0                   0                   0
                   0   0.207900000000000                   0                   0
                   0                   0   0.207900000000000                   0
                   0                   0                   0   0.207900000000000

Parameter Matrix lambda_eta:
   0.890000000000000

Parameter Matrix sqrt_Sigma_eta:
   0.030782620863831   0.012104994553557  -0.044483856233044  -0.050518173900587
   0.012104994553556   0.176002677106077   0.047125296327186   0.060014441632220
  -0.044483856233043   0.047125296327186   1.228942982959905  -0.168592816022288
  -0.050518173900587   0.060014441632220  -0.168592816022288   0.611582899766662

************************************************************
************************************************************
          SUMMARY STATISTICS
    <strong>mean(y1)</strong>    <strong>sd(y1)</strong>     <strong>skew(y1)</strong>    <strong>mean(y2)</strong>    <strong>sd(y2)</strong>     <strong>skew(y2)</strong>     <strong>mean(y3)</strong>        <strong>sd(y3)</strong>        <strong>skew(y3)</strong>  
    <strong>________</strong>    <strong>_______</strong>    <strong>________</strong>    <strong>________</strong>    <strong>_______</strong>    <strong>________</strong>    <strong>___________</strong>    <strong>___________</strong>    <strong>___________</strong>

      -1.776     -5.897     4.0154     0.33337       1.124     1.3569        -0.40695      -0.046733       -0.13217
     -1.6293    -5.7618     4.2368     0.45738      1.5197     1.4649        -0.35621       0.080838       -0.11571
     -1.6153    -5.5298     4.4671     0.60081      2.5866     2.0472        -0.67471       -0.57582        0.24013
     -1.2637    -3.7677     4.3696     0.45803      1.6898     1.5979        -0.48206    -0.00058796        0.35691
     -1.4622    -4.8028     4.4345     0.38288      1.3353     1.4714         0.38638        0.20818      -0.066008
     -1.6175    -5.6299     4.3982      0.3826      1.2152     1.3656         0.34738        0.42289         0.2808
     -1.4524     -4.911     4.4399     0.43303        1.77     1.5202         0.57409        0.30764        0.41018
     -1.7443    -5.8426     4.0198     0.43225      1.3213     1.6271        0.099978        0.33433        0.12095
     -1.4331    -4.4165     3.8439     0.54534      2.0802     1.7384       -0.031883        0.26439       -0.75116
     -1.7436    -5.8839       4.32     0.49578      1.9009     2.0472         0.41794        0.33418        0.55172
     -1.4282    -4.5916     4.0278     0.39857      1.2661     1.3424         0.34933        0.16532        0.12248
     -1.5831    -5.5121     4.2885     0.37613      1.0597     1.1283        0.078266        0.14716       -0.40196
     -2.3367     -8.878     4.7141     0.45117       1.816     2.3195       -0.089559        0.22241       0.062583
     -1.9487    -6.8638     4.1204     0.43762      1.4029     1.5665       -0.038161       -0.30062       -0.30777
      -1.844    -6.5249     4.3013     0.44586      1.6743     1.5825         0.08839        0.10533        0.30603
      -1.563    -5.1706     4.1902     0.45714      1.5166     1.6255        0.074766        0.33012       0.039077
     -1.8786    -6.4102     4.1475     0.52892      1.8283     1.7283         -1.0198       -0.76705         -0.293
     -1.7696    -6.0053     4.0305     0.51631      1.7092     1.5093         0.61357        0.57175         0.1796
     -1.8392     -6.497     4.5073     0.36747       1.236     1.5041       -0.010376      -0.019393       -0.13639
     -1.8493    -6.6244     4.3989     0.43882      1.4358     1.5781       -0.048039       -0.32384        0.52362
     -2.0736    -7.5367     3.8924     0.61335      2.4202     2.1975         0.23173      -0.085483        0.49199
     -1.9475     -7.039      4.878     0.54268      2.1035     1.3358          0.7472        0.67955       0.074506
     -1.9354     -6.801     4.3392     0.37944      1.1441     1.3004         -1.1701       -0.65388        -1.4611
     -1.8321     -6.276     3.8698     0.49594      1.8633     1.8202         0.32348        0.33115        0.89462
     -1.4555    -4.7343     4.1153     0.39529      1.1062     1.2375        0.085116      -0.041297       -0.58394
     -1.6726    -5.5161     4.1423      0.4475      1.5074     1.7227       -0.026307        0.57134       0.023879
     -1.4576    -4.8376     4.4961     0.48463      1.5354     1.6289        -0.67102       -0.58983         0.6849
     -1.1595    -2.9462     3.7194     0.40659      1.4105     1.4333          -0.313       -0.43091      -0.089721
     -1.6697    -5.6103     4.0584     0.79257      3.0628      2.265         0.28782        0.38355        0.43322
     -2.1682    -7.7707     4.5257     0.41234      1.5688     1.5016        -0.12204       0.035018        -0.3707
