************************************************************
             mc_replic: 1000
             prune_tol: [1.000000000000000e-06 1.000000000000000e-04 0.010000000000000]
           data_burnin: 100
         Harvey_factor: 10
           cdfmvna_fct: "logmvncdf_ME"
               poolobj: [0×0 parallel.Pool]
    physical_cores_nbr: 8
         computer_arch: 'maci64'
         parameter_set: 'DGP2'
              seed_nbr: 1.936362161000000e+09
           sample_size: 250
              filename: 'results_computing_time_DGP2_T250_R1000_maci64'
               logfile: 'results/results_computing_time_DGP2_T250_R1000_maci64.log'

************************************************************
Parameter Matrix G:
   0.537300000000000   0.263400000000000   0.102900000000000  -0.164900000000000
   0.201700000000000   0.581200000000000   0.322700000000000  -0.088600000000000
   0.119600000000000  -0.074900000000000   0.837100000000000   0.153000000000000
  -0.025100000000000  -0.028100000000000   0.019700000000000   0.352400000000000

Parameter Matrix F:
  -0.239100000000000  -0.169000000000000   0.074700000000000  -0.667600000000000
  -1.033900000000000  -0.888200000000000   0.599700000000000  -1.225600000000000
  -0.258800000000000  -0.525800000000000   1.031000000000000  -1.740200000000000

Parameter Matrix R:
     1     0     0     0
     0     1     0     0
     0     0     1     0
     0     0     0     1

Parameter Matrix mu_eps:
  -0.656900000000000
  -1.020100000000000
   0.744200000000000

Parameter Matrix Sigma_eps:
   1.0e-06 *

   0.577600000000000  -0.228000000000000  -0.091200000000000
  -0.228000000000000   0.525600000000000   0.425400000000000
  -0.091200000000000   0.425400000000000   0.430100000000000

Parameter Matrix mu_eta:
   0.785400000000000
  -1.487000000000000
  -0.070400000000000
  -0.676100000000000

Parameter Matrix Sigma_eta:
   0.005625000000000  -0.002625000000000  -0.046950000000000  -0.024225000000000
  -0.002625000000000   0.036946000000000   0.055552000000000   0.038710000000000
  -0.046950000000000   0.055552000000000   1.542924000000000  -0.305224000000000
  -0.024225000000000   0.038710000000000  -0.305224000000000   0.408611000000000

Parameter Matrix nu_eta:
     0
     0
     0
     0

Parameter Matrix Gamma_eta:
  41.833760994884372  -5.071538781670141   2.339524325024785   4.598162859417312
  -5.071538781670020   5.954231316364726  -0.571119358456823  -1.160646197129748
   2.339524325024785  -0.571119358456831   0.898979711057304   0.497112373889856
   4.598162859417302  -1.160646197129763   0.497112373889855   2.085990141138548

Parameter Matrix Delta_eta:
   0.207900000000000                   0                   0                   0
                   0   0.207900000000000                   0                   0
                   0                   0   0.207900000000000                   0
                   0                   0                   0   0.207900000000000

Parameter Matrix lambda_eta:
   0.890000000000000

Parameter Matrix sqrt_Sigma_eta:
   0.030782620863831   0.012104994553556  -0.044483856233044  -0.050518173900587
   0.012104994553556   0.176002677106078   0.047125296327186   0.060014441632220
  -0.044483856233043   0.047125296327186   1.228942982959905  -0.168592816022288
  -0.050518173900587   0.060014441632220  -0.168592816022288   0.611582899766662

************************************************************
************************************************************
          SUMMARY STATISTICS
    <strong>mean(y1)</strong>    <strong>sd(y1)</strong>     <strong>skew(y1)</strong>    <strong>mean(y2)</strong>    <strong>sd(y2)</strong>    <strong>skew(y2)</strong>     <strong>mean(y3)</strong>        <strong>sd(y3)</strong>        <strong>skew(y3)</strong>  
    -1.7081     -5.8913     4.2679     0.56347     2.1456     1.7073        0.050235        0.13427         0.1241
    -1.7148     -5.8917     4.3173     0.52031     2.0492     1.6597       -0.019034       -0.28152        0.28719
    -1.6996     -6.0081      4.373     0.49993     1.9514      1.654        -0.20936       -0.10323        0.19453
    -1.7382      -6.072     4.3042     0.56171     2.1769     1.5935       -0.096973       -0.18855        0.21748
    -1.5577     -5.1938     4.1668      0.4989     1.8963     1.5293       -0.083206       -0.20194        0.25106
    -1.9237     -6.9221     4.4926     0.41889     1.5509     1.4546         0.53944        0.76093      -0.082476
     -1.651     -5.7472     4.3745     0.44069     1.5612     1.5296        -0.29892      -0.076486        0.14545
    -1.8578     -6.6591     4.5205     0.48387     1.8259     1.5953        -0.31323       -0.57425         0.1167
    -1.6798     -5.7113     4.2463     0.47555     1.7865     1.5576        -0.25308       -0.32792      0.0098418
    -1.8646     -6.6265     4.4547     0.50675     1.9865     1.7239        -0.34806       -0.16571        0.14968
     -1.664     -5.7671     4.2449     0.50472     1.9485     1.5509        0.042883        0.29929       -0.25625
     -1.669     -5.7191     4.1917      0.4042     1.5429     1.3607        -0.11151        0.12355        -0.3727
    -1.7175     -5.8876     4.2175     0.45897     1.7047     1.5017         -0.1363       -0.18568      -0.020849
    -1.5808     -5.4307     4.3193     0.50475     2.0331     1.5797        -0.21266       -0.34045       -0.10392
    -1.7634     -6.2625     4.3572     0.53815     2.2751     1.5148        0.033101        0.10063        0.14909
    -1.6592      -5.673     4.1881     0.47873     1.7746     1.5384        -0.33676        0.10341      -0.054195
    -1.7315     -6.0301      4.252     0.54992     2.2695     1.5682        -0.27934       -0.35952      -0.029729
    -1.7049     -5.8356     4.1858     0.48214     1.8406     1.5963        -0.18542       -0.14955      -0.068148
    -1.9012     -6.5886     4.2681     0.49455     1.9438     1.5862        -0.37538       -0.03171      -0.073183
    -1.5908     -5.3465     4.1551     0.52393     2.0567     1.7299       -0.083983      -0.083908        0.14685
    -1.7388     -5.9213       4.22     0.52798     1.8639     1.6892       -0.093112        0.37009       -0.12874
    -1.9552     -7.0362     4.5261     0.48961     1.8794     1.6693       -0.042115        0.16735     -0.0033567
    -1.8499      -6.484     4.3073     0.48355     1.8495     1.4878        -0.16986      -0.076765        0.14025
    -1.6103     -5.5217     4.2751     0.51884     2.0061     1.4585        0.048338        0.23622       -0.14156
    -1.5559     -5.2481     4.2096     0.46462     1.8647     1.4916         0.21631        0.45477       0.012033
    -1.5843     -5.4519     4.2149     0.49318     1.9269     1.5567        -0.21713       0.022383       0.067617
    -1.8554     -6.5669     4.3353     0.52027      2.067     1.7235        -0.14572       -0.18078      0.0023609
    -1.9474     -6.9366     4.3882     0.49294     1.9531     1.6463         -0.1986       -0.20811        0.35614
    -1.8222     -6.3894     4.4845     0.58952     2.4274     1.5301        -0.17726       -0.42291        0.19671
    -1.9241     -6.9162     4.5138     0.48187     1.7956     1.6491        -0.18276       -0.10069        0.19876
     -1.734     -6.0019     4.3006     0.51807     2.0435     1.6499        0.084608        0.32783       -0.29411
    -1.6381     -5.6227     4.2484     0.49008     1.8322     1.4301         0.18991        0.09527        0.10464
    -1.7037     -5.8882     4.2885     0.51147     2.0205      1.668         0.23396        0.23369        0.26668
    -1.6306     -5.6343     4.2844     0.42773     1.4762     1.4075        0.037444        0.10837      -0.021006
    -1.7626     -6.1278     4.3478     0.54941     2.1813     1.6574        -0.26032       -0.28492        0.29399
    -1.7022     -6.0033      4.446     0.57568     2.2552     1.6859        -0.36942       -0.41269      -0.022916
    -1.7879     -6.2736     4.3902     0.51699     1.8965     1.4406         0.28029        0.39757        0.29986
       -1.6     -5.4058     4.2495     0.48368     1.8343     1.5486        -0.53699       -0.36789       -0.28356
    -1.7484     -6.2237     4.4353     0.51337     1.8822      1.641        -0.43001       -0.18953       -0.17084
    -1.7136     -5.9696      4.369     0.51995     1.9769     1.5559        0.042039       0.051077       -0.18336
    -1.7693     -6.2427     4.4776     0.53484      2.193     1.6766        -0.22522      -0.094297       0.075517
    -1.7468     -5.9733     4.2334     0.55906     2.1935     1.6901        0.059698        0.15432         0.1863
    -1.5916      -5.515     4.3782     0.49382     2.0008     1.5265       -0.098399       0.064509        0.20943
    -1.7089     -5.9028     4.3144     0.46038     1.6878     1.4014       -0.046969       0.020585        0.23131
    -1.7356     -6.0349     4.3253      0.5006     1.8311     1.4847        -0.34174       -0.37585      -0.023752
    -1.6769     -5.7647     4.2544     0.55485     2.1928     1.4996        -0.81114       -0.75131       0.057908
    -1.6057     -5.5199     4.2179     0.47368     1.7805     1.6167       -0.095993       -0.19365         0.1078
    -1.8799     -6.6069      4.372     0.53485     2.1238      1.601       -0.036439      -0.086824      -0.084426
    -1.7705     -6.2376     4.3776     0.46085     1.7241     1.4528        -0.37547       -0.36207       0.042491
    -1.8877     -6.7565     4.4319      0.4362     1.5773     1.4881         0.03967      -0.022378      -0.020301
    -1.7499     -6.0764     4.3097     0.51163     1.9978     1.6415       -0.018154       0.057928        0.25639
    -1.7335     -5.9381     4.2198     0.42536     1.5694     1.4746       -0.028595      -0.036476        0.19693
    -1.7937     -6.2709     4.3698     0.47638      1.799     1.5733        -0.45813       -0.36602      0.0072312
    -1.8673     -6.5554     4.2238     0.59814     2.3308     1.7078        0.043103        0.14988      0.0099611
    -1.5907     -5.4056     4.2622     0.49038     1.7157     1.6302       -0.029322        0.13385        0.17183
    -1.7281     -5.9792     4.4177     0.50609     1.9792     1.6087         0.17703       0.056408        0.19417
    -1.7196      -5.882     4.2005     0.52863       2.03     1.6144       -0.015763       0.049257        0.35995
    -1.6783      -5.811     4.4428     0.58795     2.3282     1.6252       -0.032583        0.28508        0.19698
    -1.6158      -5.425     4.1706     0.53161     1.9512     1.6157       -0.079353       -0.21593       0.073663
    -1.7257     -6.0879     4.4468     0.57556     2.3051     1.7707        -0.14861      -0.064261        0.05125
     -1.651     -5.7139     4.2872     0.58706     2.2345     1.6754        -0.21386       -0.26062      -0.013186
    -1.8861     -6.6012     4.4378     0.57739     2.1982     1.5626        -0.27379       -0.12768       0.052905
    -1.6175     -5.5789     4.3056     0.52342      2.059     1.5632         0.25481         0.5076       -0.25522
    -1.7113     -6.1248     4.4113     0.54705     2.2084     1.5603        -0.22902       -0.34104        0.33148
    -1.6852     -5.7612     4.2356     0.54591     2.1199     1.7823       -0.092663      -0.020892        0.19335
    -1.6673     -5.8102     4.3087     0.51596      2.055       1.66        0.054305       0.098973        0.28875
    -1.6113     -5.5568      4.299     0.61812     2.4481     1.7044        -0.10648      -0.076294        0.03365
    -1.7178     -5.8773     4.2397     0.59172     2.4043     1.6014        -0.33929       -0.43831        0.21702
    -1.9081     -6.8555     4.4801     0.43602     1.6284     1.4363       -0.015724      0.0072085       -0.68384
    -1.5349     -5.2003     4.2491     0.55133     2.2696     1.8353       -0.078492        -0.1572        0.10079
    -1.7023     -5.7769     4.2099     0.49668     1.8191     1.6312        -0.03559       0.074271         0.5815
    -1.7606     -6.1929     4.4411     0.45645     1.7609     1.6129         0.16502        0.44305        0.19498
    -1.5063     -4.9593     4.1185     0.51845     2.0375     1.6278        -0.14362       -0.13305      -0.077082
    -1.6946     -6.0442     4.5624     0.47303     1.8206      1.464         -0.1311       -0.08563        0.29826
    -2.0241     -7.3221     4.5211     0.55253     2.2487     1.5507         0.36687        0.50091     -0.0041672
    -1.7072     -5.9558     4.3527     0.50618     1.9791     1.6145        0.061138         0.3563       0.096025
    -1.6206     -5.5451     4.3013     0.52107     2.0836     1.5403        -0.26914       -0.38157       -0.10254
    -1.6906     -5.7546     4.3162     0.46758     1.8028     1.6021       -0.069414       0.078996       -0.14673
     -1.555     -5.2992     4.2211     0.57287     2.1699     1.4605        0.032343        0.20935       0.059405
    -1.7067      -5.925     4.3487     0.51177     1.9932     1.7527        -0.19955      -0.056709       0.091856
    -1.8346     -6.5049     4.4455     0.54391     2.0681     1.6467        -0.10523      0.0057333        0.46422
     -1.616     -5.5057     4.2245     0.60235     2.5421      1.759         0.25378        0.32823      -0.043912
    -1.6755     -5.7264     4.1976      0.4725     1.7501     1.6076        -0.38797       -0.36836        0.21897
    -1.8053      -6.174     4.2584     0.47711     1.9315     1.5223         0.15158       0.082739      -0.091398
    -1.7604     -6.2063     4.4516     0.50453     1.8495     1.5726        -0.17046       -0.14187       -0.35791
    -1.7975     -6.3058     4.4168     0.53379     2.1242     1.5948       -0.010215       0.017234        0.22676
     -1.707     -5.9593     4.4271     0.45195     1.7787     1.5652        -0.32247       -0.34377        0.13387
    -1.5336     -5.1012     4.2153     0.48852     1.8371     1.5413        -0.10455       -0.02864        0.26828
    -1.7254     -5.9829      4.362        0.55     2.2003      1.668       -0.040334       0.047689        -0.0777
    -1.6956     -5.9649     4.4271     0.50753     2.0102     1.5659         0.10363     -0.0092669        0.27838
    -1.6406     -5.6258     4.2634       0.519      1.917     1.5714       -0.024461       0.090642      -0.039723
    -1.6229     -5.5898     4.2684     0.56812     2.2839     1.6217       -0.038837       0.040327        0.17017
    -1.6402     -5.6378     4.2892     0.51056      1.833     1.6267       0.0039834        0.34544        0.20956
    -1.7138     -6.0124      4.342     0.51401     1.9404     1.5972        -0.13775      -0.058272       -0.27563
    -1.8732     -6.6559     4.3787     0.54581     2.0978     1.5763        -0.28226       -0.23009      -0.010265
    -1.5637     -5.3258     4.2943     0.51956     2.0608     1.7025        -0.37055       -0.45538        0.16897
    -1.8739     -6.7361       4.56     0.55577     2.2283     1.7324        0.007254       0.080682       0.093175
    -1.6068     -5.4882     4.2581     0.42679     1.5343     1.5994        -0.17539      -0.092108        0.09317
    -1.7247     -6.0165     4.3357     0.59817     2.3746     1.6476          0.3375        0.56789        -0.1504
    -1.8577     -6.6136     4.4164     0.48193     1.9037     1.5235        -0.55902       -0.33462        0.28659
    -1.5463     -5.3137     4.2529     0.48799     1.8504     1.4004        -0.16277       -0.34987       0.033524
     -1.625     -5.4746     4.1248      0.4911      1.821     1.5937         0.24014        0.30523       -0.12384
    -1.6089     -5.3437     4.1706     0.47969     1.6581     1.5618        -0.28863       -0.31903         -0.222
    -1.8601      -6.615      4.435     0.47678      1.672     1.4592         -0.2866       -0.16314       -0.21992
    -1.6643     -5.7601     4.3429     0.62235     2.5294     1.6445        -0.23582       -0.40725         0.3427
    -1.7435     -6.1277     4.3831     0.57084     2.2483     1.6703        -0.29418       -0.15018       0.081951
    -1.6826     -5.8936      4.344     0.54176     2.1298     1.5817        0.071818        0.23522      -0.011763
    -1.7929     -6.2213     4.2851     0.49149     1.9309      1.639        -0.33322       -0.58298        0.26005
    -1.7561     -6.1325     4.2976     0.59392     2.4298     1.6514         0.27352        0.46502         0.1127
    -1.5719     -5.4612     4.2985     0.49834     2.0681     1.5673       -0.084961       0.019297       -0.10423
    -1.7269     -6.1048     4.4014     0.42473     1.6418     1.4963         0.19995        0.49727       0.022409
    -1.6272     -5.6982      4.428     0.51262     1.9004     1.6485       -0.057373      0.0023033        0.37629
    -1.8145     -6.5382     4.5582     0.53613       2.14     1.6708         0.16122        0.25163       0.040284
    -1.8745     -6.5038     4.2987     0.54102     2.0771     1.6939         -0.4552       -0.33754        -0.1705
    -1.6982     -5.8661       4.25     0.48925     1.9069     1.5299        -0.47527       -0.28941       -0.01791
    -1.9827     -7.1722     4.4441     0.46102     1.8606     1.5768        -0.20705       0.088326        0.10777
    -1.7043     -5.8919     4.2449     0.45263     1.7836     1.5301         0.11939        0.15073      -0.056907
    -1.5753     -5.3447     4.1892     0.55176      2.184     1.5473        -0.25158       -0.33906        0.34024
    -1.6081     -5.5114     4.2687     0.48172        1.8     1.4329      -0.0055085       -0.13011       -0.14848
    -1.6087     -5.6589     4.3948     0.51986     2.0398     1.5578         0.11937       0.086319        0.28845
    -1.8169     -6.4605     4.5161     0.57643     2.4266     1.5696        -0.34111       -0.50751        0.36477
    -1.6739     -5.6557     4.1569     0.50525     1.8244     1.6309        -0.11776       -0.19106      -0.035672
    -1.6315     -5.5344     4.1982     0.56209     2.2022      1.603       -0.074554       -0.24278        0.30108
    -1.5188     -5.0953     4.2471     0.49691     1.9722     1.4826        0.051656        0.20406         0.3555
    -1.8046     -6.4461     4.4538     0.59381     2.2975      1.588        -0.25631      -0.080758        0.28573
     -1.725     -5.9557     4.2229     0.48562     1.7984     1.5755       -0.068561         -0.163       0.087204
    -1.5915     -5.4267     4.1678     0.55019     2.1103      1.604        -0.31122       -0.24466       0.051219
    -1.4947      -4.941     4.2288      0.5159     2.0573     1.6283        -0.01342       0.030833        0.15356
    -1.7533     -6.0927     4.2691     0.51542     2.0459     1.6936         0.17955        0.24614        0.03518
    -1.8004     -6.2393     4.2637     0.49894     1.9488     1.6272        -0.19609       -0.20625        0.16615
    -1.6553     -5.6019      4.179     0.44244     1.6629     1.4155         -0.3451       -0.10786       0.035631
    -1.6938     -5.9339     4.4376     0.56503     2.2375     1.5942       -0.015386       0.051739         0.2032
    -1.6624     -5.7361     4.2865     0.50623     1.8806     1.6503         0.14448        0.13616        0.14227
    -1.7933     -6.2785     4.2457     0.54816     2.2638     1.5386        -0.16733       -0.24331       0.042518
     -1.693     -5.9137     4.2726     0.46297     1.7138     1.6335       -0.046034        0.24874        0.16848
    -1.6486     -5.7293     4.2999     0.48406     1.8958     1.6567        0.077659        0.19436        0.40634
     -1.739     -6.0106     4.3112     0.44469     1.7251     1.4233        -0.14782        0.38305        0.35504
    -1.7186      -5.891     4.2011     0.49759     1.8605     1.5611         0.17849        0.13074        0.19587
    -1.5295     -5.1067     4.0956     0.42181     1.5988     1.5339        0.051419      -0.040516        0.07611
    -1.7574     -6.1874       4.37     0.55648     2.2585     1.6848           0.197         0.2203        0.31447
    -1.7368      -5.929     4.2667     0.50701     1.9488     1.5731        -0.22485       -0.34658        0.28558
    -1.6922     -5.9353     4.4312     0.50099     2.0334      1.479        0.016296        0.17423       0.020964
    -1.6433     -5.5515     4.2252     0.47568     1.9567     1.5301         0.10254        0.16371       -0.18874
    -1.8726     -6.6602     4.3977     0.53273     1.8709     1.7264         0.14781        0.22614        0.11775
    -1.9021     -6.5704     4.2023     0.58008     2.3381     1.8361        -0.38983        -0.3885      -0.041816
    -1.5897     -5.3602      4.209     0.50527     1.8913      1.464        0.016135        0.23937       0.083688
    -1.4311     -4.8463     4.2557      0.5049      1.937     1.6047        0.052304        0.41113       0.065304
    -1.9115      -6.876      4.502      0.4495     1.5754     1.5578        -0.36577       -0.34832       0.075165
    -1.7043     -5.8518     4.2634     0.49363     1.9227     1.6764        -0.11888        0.34128        0.16916
    -1.7285     -6.0089     4.3049     0.47595     1.7959     1.5903       -0.038837       -0.10429      -0.021817
    -1.7288     -6.2417     4.5765     0.46484     1.7872     1.6447        0.099327       0.028599        0.25632
    -1.6866     -5.8101     4.1518     0.54176     2.0757     1.6026        -0.29637       -0.25087        0.24175
     -1.717     -6.0197     4.4423     0.49024      1.924     1.5995        0.046793        0.17119       -0.10707
    -1.6483     -5.5297     4.0989     0.40677     1.5772     1.5603         0.29931        0.44881       0.059479
    -1.7906     -6.3065      4.423     0.53376     2.1511     1.7003        -0.28036       -0.41506        0.20222
    -1.8289     -6.4385     4.4071     0.52208     2.0752     1.6056       -0.067774       -0.13446       0.015449
    -1.6759     -5.7958     4.3931     0.57999     2.3757     1.5824        -0.20408       -0.16711       -0.27066
    -1.6008     -5.5292     4.3945     0.55179     2.2906     1.6712        -0.28309       -0.30566        0.09295
    -1.7193     -6.0334     4.4174     0.46519      1.686     1.4765       -0.067525        0.18975         0.2242
    -1.5836     -5.4113     4.2587     0.43748     1.6037      1.558        -0.13621        0.29303        -0.1981
    -1.5704     -5.3017     4.1661     0.56394     2.1646     1.6085        -0.42096       -0.49956       -0.23022
      -1.58      -5.311     4.1649      0.4976     1.9051     1.5249        -0.18497        -0.1333       -0.24324
    -1.6089     -5.5137     4.2719     0.49764     1.8202     1.5903        0.064729        0.17306        0.26187
    -2.0362     -7.5008     4.6572     0.51106     2.0105      1.724        -0.17269        -0.1325       0.048809
    -1.5357     -5.0869     4.2141     0.53425     2.0098     1.6506      -0.0041351       -0.19201       -0.28164
    -1.4913     -5.1371     4.2359      0.5255     2.0684      1.742        -0.10212      -0.043687     -0.0067437
     -1.817     -6.3521      4.326     0.54487      2.236     1.5524        -0.17831       -0.34994        0.26359
    -1.6228     -5.5052     4.2854     0.63056     2.4698     1.7364        -0.56464       -0.48348       0.040544
    -1.7535     -6.1676     4.2098     0.53485     2.0987     1.6842       -0.098682       0.076189       -0.17958
    -1.8583     -6.5324     4.3633     0.46369     1.8194     1.4734      0.00036949        0.28811        0.20403
    -1.8066     -6.4451     4.4342     0.48385     1.9117     1.5322        0.060008        0.33508        0.24672
    -1.7213     -6.0125      4.251     0.58706     2.1976     1.5208         0.17333        0.21383        0.20713
    -1.7357     -6.0736     4.3614     0.57288     2.1384     1.7452       -0.086435        0.11444       -0.16319
    -1.6549     -5.5499     4.1093     0.54842     2.1507     1.5675        -0.12612      -0.093841      -0.067485
    -1.6351     -5.5209     4.1765     0.48501     1.9176     1.5989        -0.17726       -0.18031        0.22084
    -1.6945     -5.8232     4.2711     0.57329     2.3914     1.5966        -0.33822       -0.33802        0.11298
    -1.6718     -5.8724     4.3613     0.39712     1.3988     1.3894         0.01392        0.18811       -0.12229
    -1.5098     -5.0908     4.3127     0.60006     2.4589      1.618        -0.29472       -0.44197      -0.024309
    -1.6077      -5.492     4.1958     0.47839     1.8594     1.5492        0.063269       0.067335        0.20916
    -1.7417     -6.0187     4.2959     0.51052     1.9944     1.6393        -0.13464      -0.019996     -0.0090422
    -1.9896     -7.1928     4.5304     0.47606     1.7916     1.6217        -0.25562      -0.045776       0.093666
    -1.6844     -5.7663     4.2842     0.54648     2.2013     1.7983         0.10226        0.21382       0.098076
    -1.8762     -6.7768     4.5199     0.50841     2.0672     1.5101        -0.22056       -0.37883      -0.041751
    -1.7567     -6.1126     4.3078      0.4727     1.7433     1.5265         0.14722        0.22076       -0.26807
    -1.6979      -5.888     4.3804     0.49961     1.9292     1.6712       -0.017737       0.050022        0.32864
    -1.8235     -6.3492     4.3102     0.45102     1.6127     1.4972       -0.031182        0.36322       0.096314
    -1.7998      -6.393     4.4808     0.46493     1.9085     1.6524       -0.074942      -0.095091        0.18761
    -1.5558     -5.2945     4.2078     0.48559     1.8157     1.4342         -0.4469       -0.34052      -0.040192
    -1.8101     -6.4701     4.4734     0.49938     2.1115     1.5307        -0.17928       -0.27752        0.10528
     -1.622     -5.5916     4.3546     0.48156     1.7701     1.5572        -0.31448        -0.1021     0.00085182
