************************************************************
             mc_replic: 1000
             prune_tol: [1.000000000000000e-06 1.000000000000000e-04 0.010000000000000]
           data_burnin: 100
         Harvey_factor: 10
           cdfmvna_fct: "logmvncdf_ME"
               poolobj: [0×0 parallel.Pool]
    physical_cores_nbr: 8
         computer_arch: 'maci64'
         parameter_set: 'DGP2'
              seed_nbr: 1.936362161000000e+09
           sample_size: 250
              filename: 'results_computing_time_DGP2_T250_R1000_maci64'
               logfile: 'results/results_computing_time_DGP2_T250_R1000_maci64.log'

************************************************************
Parameter Matrix G:
   0.537300000000000   0.263400000000000   0.102900000000000  -0.164900000000000
   0.201700000000000   0.581200000000000   0.322700000000000  -0.088600000000000
   0.119600000000000  -0.074900000000000   0.837100000000000   0.153000000000000
  -0.025100000000000  -0.028100000000000   0.019700000000000   0.352400000000000

Parameter Matrix F:
  -0.239100000000000  -0.169000000000000   0.074700000000000  -0.667600000000000
  -1.033900000000000  -0.888200000000000   0.599700000000000  -1.225600000000000
  -0.258800000000000  -0.525800000000000   1.031000000000000  -1.740200000000000

Parameter Matrix R:
     1     0     0     0
     0     1     0     0
     0     0     1     0
     0     0     0     1

Parameter Matrix mu_eps:
  -0.656900000000000
  -1.020100000000000
   0.744200000000000

Parameter Matrix Sigma_eps:
   1.0e-06 *

   0.577600000000000  -0.228000000000000  -0.091200000000000
  -0.228000000000000   0.525600000000000   0.425400000000000
  -0.091200000000000   0.425400000000000   0.430100000000000

Parameter Matrix mu_eta:
   0.785400000000000
  -1.487000000000000
  -0.070400000000000
  -0.676100000000000

Parameter Matrix Sigma_eta:
   0.005625000000000  -0.002625000000000  -0.046950000000000  -0.024225000000000
  -0.002625000000000   0.036946000000000   0.055552000000000   0.038710000000000
  -0.046950000000000   0.055552000000000   1.542924000000000  -0.305224000000000
  -0.024225000000000   0.038710000000000  -0.305224000000000   0.408611000000000

Parameter Matrix nu_eta:
     0
     0
     0
     0

Parameter Matrix Gamma_eta:
  41.833760994884372  -5.071538781670141   2.339524325024785   4.598162859417312
  -5.071538781670020   5.954231316364726  -0.571119358456823  -1.160646197129748
   2.339524325024785  -0.571119358456831   0.898979711057304   0.497112373889856
   4.598162859417302  -1.160646197129763   0.497112373889855   2.085990141138548

Parameter Matrix Delta_eta:
   0.207900000000000                   0                   0                   0
                   0   0.207900000000000                   0                   0
                   0                   0   0.207900000000000                   0
                   0                   0                   0   0.207900000000000

Parameter Matrix lambda_eta:
   0.890000000000000

Parameter Matrix sqrt_Sigma_eta:
   0.030782620863831   0.012104994553556  -0.044483856233044  -0.050518173900587
   0.012104994553556   0.176002677106078   0.047125296327186   0.060014441632220
  -0.044483856233043   0.047125296327186   1.228942982959905  -0.168592816022288
  -0.050518173900587   0.060014441632220  -0.168592816022288   0.611582899766662

************************************************************
************************************************************
          SUMMARY STATISTICS
    <strong>mean(y1)</strong>    <strong>sd(y1)</strong>     <strong>skew(y1)</strong>    <strong>mean(y2)</strong>    <strong>sd(y2)</strong>    <strong>skew(y2)</strong>     <strong>mean(y3)</strong>        <strong>sd(y3)</strong>        <strong>skew(y3)</strong>  
    <strong>________</strong>    <strong>_______</strong>    <strong>________</strong>    <strong>________</strong>    <strong>______</strong>    <strong>________</strong>    <strong>___________</strong>    <strong>___________</strong>    <strong>___________</strong>

    -1.6583     -5.6399      4.194     0.47276     1.7989     1.5981        0.092751        0.34496      -0.034437
    -1.9087     -6.8452     4.4701     0.51002     2.0865      1.578       0.0047196      -0.036354       0.048856
    -1.5592     -5.2491     4.2233     0.46015      1.808     1.5341        -0.31365       -0.40128        0.22711
    -1.6091     -5.3908      4.228     0.49889     1.8495     1.4953        -0.34764      -0.021441      0.0081296
    -1.6931     -5.8642     4.3667     0.50284     2.0449     1.5927        -0.13752      -0.091606        0.43553
    -1.6559     -5.7458     4.2942      0.4762      1.914      1.593        -0.33555       -0.42709        0.17512
       -1.8     -6.3134     4.4603     0.53659     2.0151     1.6189        -0.12959       0.029678       0.093627
    -1.7246     -5.9454     4.1914     0.46249     1.6737     1.5498        0.092901        0.20649        0.16965
    -1.5423     -5.1944     4.1889     0.48056     1.7357     1.4978         0.20287        0.30141       -0.30533
    -1.5973     -5.3859     4.2127     0.53515      2.099     1.5356         -0.2614       -0.13619        0.15959
    -1.6914     -5.9789     4.3952     0.49581     1.9162     1.4254        -0.28416       -0.51293       0.020899
    -1.5839     -5.3191     4.1716     0.45183     1.5358      1.496         -0.4095      -0.045322       -0.36023
    -1.6371     -5.6134     4.4006      0.5919     2.4245     1.7646        -0.34841       -0.33694      0.0057858
    -1.7489     -6.0401     4.2857     0.49094     1.7452     1.6716        0.057044        0.15645      -0.041485
    -1.7022     -5.8588     4.2096     0.49229     1.8164     1.6407       -0.080258        0.23763       0.057089
    -1.7023      -5.871     4.3295     0.45295     1.6384     1.5338          0.1899        0.35987         0.2422
    -1.8538     -6.4927     4.3691     0.47569     1.7528     1.6483        -0.56066        -0.3471       -0.23882
    -1.7862     -6.2331     4.2354     0.47713     1.6736     1.4599         0.35468        0.60253       -0.13286
     -1.763     -6.2493      4.464     0.49245     2.0196     1.6066       -0.081433       -0.23325       -0.17126
    -1.6619     -5.6974      4.179     0.57711     2.2159     1.6677       -0.077588       0.077881         0.1336
    -1.7631     -6.1458     4.3434     0.60063     2.2961     1.7956         0.13424       0.092245        0.25804
    -1.7178     -5.9457      4.284      0.5122      2.036     1.6379        0.099525        0.14568       0.073018
    -1.6795     -5.7639     4.3438     0.52688     2.1089     1.5275        -0.29313       -0.34217        0.13802
    -1.6381     -5.7009     4.3823     0.49435       1.88     1.6063        -0.19336       -0.01807        0.13701
    -1.7654     -6.1676     4.3065     0.49511     1.9071     1.4955         -0.1296       -0.25228       0.016645
    -1.7417     -5.9499     4.2761     0.52735     1.9777     1.7186        -0.27358        -0.1588      0.0033007
    -1.5262      -5.044     4.1297     0.49816     1.8074     1.6218        -0.35287       -0.49732         0.1643
    -1.5072     -4.9572     4.2143     0.50652     2.0377     1.6187        -0.40735       -0.18938      0.0022691
    -1.7444     -5.9558     4.1313     0.57375     2.1802     1.7086         0.12708        0.13608       0.036428
