************************************************************
             mc_replic: 1000
             prune_tol: [0 1.000000000000000e-06 1.000000000000000e-04 … ]
           data_burnin: 100
         Harvey_factor: 10
           cdfmvna_fct: "logmvncdf_ME"
               poolobj: [0×0 parallel.Pool]
    physical_cores_nbr: 18
         computer_arch: 'win64'
         parameter_set: 'DGP1'
              seed_nbr: 4.112460544000000e+09
           sample_size: 150
              filename: 'results_computing_time_DGP1_T150_R1000_win64'
               logfile: 'results/results_computing_time_DGP1_T150_R1000_win64.log'

************************************************************
Parameter Matrix G:
   0.800000000000000

Parameter Matrix F:
    10

Parameter Matrix R:
     1

Parameter Matrix mu_eps:
     1

Parameter Matrix Sigma_eps:
   0.010000000000000

Parameter Matrix mu_eta:
   0.300000000000000

Parameter Matrix Sigma_eta:
   0.640000000000000

Parameter Matrix nu_eta:
     0

Parameter Matrix Gamma_eta:
  -1.112500000000000

Parameter Matrix Delta_eta:
   0.207900000000000

Parameter Matrix lambda_eta:
  -0.890000000000000

Parameter Matrix sqrt_Sigma_eta:
   0.800000000000000

************************************************************
************************************************************
          SUMMARY STATISTICS
    <strong>mean(y1)</strong>    <strong>sd(y1)</strong>     <strong>skew(y1)</strong>  
    <strong>________</strong>    <strong>______</strong>    <strong>___________</strong>

     -10.81     10.229      0.0016077
    -7.9352     8.4154       -0.61933
    -13.433     7.5516       -0.12427
    -8.6754     7.8737        0.18877
    -12.149     10.364       -0.29493
    -12.353      8.551        0.14405
    -10.445     8.7619       0.065146
    -10.678     9.8053       -0.15772
    -8.0128      9.499       -0.42046
    -14.395     10.307       -0.65208
    -11.485     7.8029       0.010239
    -10.318     8.7601      -0.022773
    -14.138     8.3766       -0.59148
    -9.4067     8.9017       -0.36165
    -12.222     8.1427       -0.33476
    -12.467     8.0987       -0.67675
    -8.3418      9.916         0.4837
    -11.516     9.1339       -0.85882
    -12.333     8.2256       -0.18267
    -12.824     9.0129        -0.5219
    -11.393     8.9008        0.24899
    -11.767     9.6968       0.018099
    -15.359     9.5982       -0.11209
    -14.953     8.3731        0.18812
    -9.3562     9.2785       -0.34945
    -12.585     9.6218       -0.55428
    -11.247     8.7385       -0.67613
    -13.136     11.408       -0.61756
    -9.9309     10.197      -0.077354
    -9.3486     9.1389       -0.13269
    -13.581     8.7508       0.095532
    -14.103     11.241       -0.15136
    -13.163     8.5568       -0.40936
    -14.172     8.7924     -0.0042198
    -11.805     8.7338        0.23555
    -10.052     8.7372         0.3582
    -10.255     9.5872       -0.32057
    -11.343     9.2735        -1.0987
     -14.96     9.6864       -0.19011
    -14.254      8.626       0.030561
    -12.965     11.239       0.010148
    -8.4537     8.2139      0.0044807
    -9.6813     8.4372      -0.058682
    -13.268     8.3496       -0.47627
    -12.397     9.1839        0.18052
    -20.741     11.776         0.2905
     -11.52     9.5122      -0.054029
    -11.047     9.3893        0.14469
    -11.595      6.977     -0.0079722
    -13.217      9.213       0.089144
    -8.7431     10.326       -0.58027
     -9.751     8.6863       -0.23885
    -12.899     8.9363       -0.32869
    -16.984     8.3347        0.30744
    -11.567     7.3825      0.0038909
    -12.661     9.9243        0.08669
    -13.076     8.4064       -0.63901
    -12.473     10.523       -0.36794
    -11.527     7.6309        0.45005
    -10.921     7.8849       -0.28182
    -15.684     9.9132       0.029073
    -8.8077      7.499        0.01196
    -12.362     10.147       -0.74804
    -10.892     11.055       -0.32524
    -8.5816     10.074       -0.14706
    -15.999     10.601       -0.31851
    -11.663     9.4325      -0.074124
    -7.4619     11.711       -0.65935
     -8.945     7.7535       -0.22214
    -12.644     8.4358        -0.4998
    -17.002     8.5088      -0.071272
    -15.228     9.0552       -0.33173
     -10.03     8.4579      -0.020207
    -12.787     8.5536       -0.31047
    -13.961     9.7816       -0.12037
    -12.522     10.608       -0.21554
    -11.229     8.6289       -0.25762
    -12.937      10.31      -0.076578
    -15.358     9.7383       0.030983
    -10.782     11.854       -0.14573
     -9.929     7.2814       -0.43134
    -13.098     7.7003        0.11392
    -15.446     8.7233       -0.48673
     -10.64     9.7682       -0.26022
    -11.992     9.6728       -0.20006
    -11.001     7.1791        0.38674
    -13.237     8.8264        0.17926
    -14.378     9.0826       -0.38443
     -12.95     7.2842      -0.087811
    -9.4675     10.418       -0.38665
    -13.808     9.7926       -0.16687
    -13.502     9.1008       -0.15963
    -9.5356     9.8892       -0.15195
    -11.105     8.0129       -0.55418
    -13.722     8.2196      -0.045712
    -13.935     9.3056       -0.12237
    -16.423     9.5286        0.18319
    -13.317     8.3603       -0.65805
    -12.985     8.8763        -1.2861
    -10.566     8.3317        0.50844
    -12.068     9.1999       -0.18734
    -16.921     10.721       -0.32314
    -15.774     9.1549      -0.038581
    -16.264     8.6015        0.18575
    -11.995     8.3378       -0.27531
    -9.9497     9.2968       -0.44619
    -12.213     10.362      -0.032588
    -11.182     9.7324       -0.41526
    -12.258     8.0405       0.030929
    -13.502      9.159         0.1486
    -14.401     10.211       -0.21376
    -13.709     9.5892       0.014583
    -14.089     9.8964       -0.53537
     -9.499      10.69        -0.5387
    -13.166     10.815      -0.075067
     -10.03     9.5795       -0.46653
    -9.4261     9.4593       0.010236
    -10.334     9.8059     0.00044263
    -13.881      10.71       0.070586
    -10.828     8.9281       -0.16975
    -13.859     8.2843       -0.65863
    -13.967     8.0186       -0.18598
    -14.603     10.009        -0.5616
    -11.824     8.8672       -0.66193
    -14.772     8.4798       0.013957
      -13.4     8.5801       0.020466
    -14.085     7.9697       -0.15448
    -10.413     7.8158      -0.078765
    -17.185     7.7779       -0.15047
    -14.691     10.034        0.46148
    -8.5912      9.834       -0.53414
    -12.866     6.4766        -0.2826
    -11.789     8.8051       -0.21824
    -12.668     8.5626       -0.58124
    -14.048      9.658       -0.26912
    -12.756     12.546        0.13813
    -11.792     8.8664       -0.01212
    -15.084     7.8509        0.21941
    -12.176     8.5545       0.012696
      -10.3     9.2557      -0.042558
    -11.651     9.7865      -0.065867
    -13.589     8.1561       -0.20919
    -11.254     7.1516      -0.033936
    -12.352     8.4822       -0.22255
    -11.896     7.6412       -0.37977
     -13.42       8.93       -0.34403
    -11.233     9.3221       -0.28265
    -10.131     8.3439       0.093554
    -13.815     8.9136        0.29187
    -10.819     9.9585        -0.4239
    -9.7721     8.9959      -0.017881
     -13.62     10.512       -0.10871
    -10.354     8.7534       -0.22913
      -12.3     8.8971       -0.40274
    -12.717     8.7219       -0.28781
    -14.959     8.0535       -0.18001
    -12.153     9.9021      -0.086734
    -19.286     9.2578       -0.51929
    -10.863     10.828       -0.28763
    -6.9449     10.727       0.013749
    -11.414     9.1342       -0.60479
    -8.8341     11.529        0.18266
    -9.4553     8.8541       -0.04587
    -12.367      9.164        0.26858
    -11.389     7.7929       -0.70388
    -14.448     8.9829        -0.3475
    -11.183      7.131       -0.58003
    -9.8384     7.8405       0.010649
    -10.579     9.2298       -0.99989
    -13.392     8.6999       -0.46542
    -13.302      12.51       -0.09522
    -10.101     8.9718       -0.01354
    -15.002     8.5769       -0.30195
    -13.344     10.957       -0.21376
    -13.797     8.5873       -0.16206
    -15.579     8.2069        -0.2182
    -9.6578     9.3751       -0.41774
    -10.068     8.3909       -0.60713
    -12.746     8.0164       -0.46703
    -9.9322      8.525       -0.48382
    -12.106     9.8853       0.069381
    -15.902     8.3004       -0.12588
    -17.565     11.478        -0.6945
     -15.13     9.2709       -0.38777
    -14.836     9.2679        0.40475
     -7.691     8.5962       -0.33837
    -15.944     10.794      -0.036947
    -14.662     8.8795       0.050739
    -12.286     8.6676       -0.43479
    -11.314     8.5909      -0.019383
    -13.148     7.8603       0.014072
    -14.559     10.936      -0.034964
    -13.896     8.5405       -0.17647
    -12.339     10.191         0.1308
    -14.167     9.0209       -0.07733
    -10.515     9.5007       -0.30822
    -12.059     9.0762       -0.32545
    -14.117     9.4239       -0.32435
    -9.8805     9.8259       -0.35129
    -12.617      9.327        0.10626
    -13.807     7.9439        0.19968
    -9.8795     7.5735       -0.10893
    -15.848     8.7197       -0.13023
    -8.9566     10.938        -0.0263
     -13.35     9.7923        0.14019
    -9.5482     9.1193       -0.69197
    -12.379     9.6622       -0.23394
     -9.712     7.0316       -0.24914
    -14.309     8.5561       -0.24357
    -12.099     6.8351      -0.095783
    -16.883     12.536       -0.30551
    -14.561     9.6864      -0.058097
    -16.469     9.6949       -0.41938
    -10.909     10.472       -0.42589
    -15.344     8.7918       -0.28615
     -10.39      11.54       -0.93143
    -15.635     11.821       -0.39871
    -10.404     8.6152       -0.33135
    -14.297     8.0809       -0.51175
    -11.765     7.6477       -0.36288
    -10.158     10.516       -0.78777
    -14.592     9.5945        0.25078
    -12.668     8.2228        0.17461
    -12.259     10.622       -0.37572
    -7.0859     7.2964       -0.01013
    -12.217     8.0882       -0.30379
    -15.503     10.893       0.032562
    -10.932     9.0336       -0.34096
    -12.021     8.6888      0.0024202
    -13.731     8.5707       -0.25545
    -10.463     11.829       0.069858
    -17.297     8.6048       -0.10413
    -13.371      10.68        0.52336
    -9.4657     9.3583       -0.31446
    -11.451     9.9856       -0.25421
    -16.092     9.8658        -0.3131
    -14.181     10.141        0.43937
    -13.059     8.8402        0.60259
