************************************************************
             mc_replic: 1000
             prune_tol: [0 1.000000000000000e-06 1.000000000000000e-04 … ]
           data_burnin: 100
         Harvey_factor: 10
           cdfmvna_fct: "logmvncdf_ME"
               poolobj: [0×0 parallel.Pool]
    physical_cores_nbr: 18
         computer_arch: 'win64'
         parameter_set: 'DGP1'
              seed_nbr: 4.112460544000000e+09
           sample_size: 150
              filename: 'results_computing_time_DGP1_T150_R1000_win64'
               logfile: 'results/results_computing_time_DGP1_T150_R1000_win64.log'

************************************************************
Parameter Matrix G:
   0.800000000000000

Parameter Matrix F:
    10

Parameter Matrix R:
     1

Parameter Matrix mu_eps:
     1

Parameter Matrix Sigma_eps:
   0.010000000000000

Parameter Matrix mu_eta:
   0.300000000000000

Parameter Matrix Sigma_eta:
   0.640000000000000

Parameter Matrix nu_eta:
     0

Parameter Matrix Gamma_eta:
  -1.112500000000000

Parameter Matrix Delta_eta:
   0.207900000000000

Parameter Matrix lambda_eta:
  -0.890000000000000

Parameter Matrix sqrt_Sigma_eta:
   0.800000000000000

************************************************************
************************************************************
          SUMMARY STATISTICS
    <strong>mean(y1)</strong>    <strong>sd(y1)</strong>     <strong>skew(y1)</strong>  
    -11.166     8.6426       -0.14387
    -18.186     11.186       -0.10451
    -16.436     10.153       0.095243
    -14.258     7.9155      -0.033104
    -13.036     8.1288       -0.16246
     -10.14     10.593        0.22516
    -6.3548     7.6796        0.21518
    -11.819      8.197       -0.16167
    -9.1192     8.7777       -0.28929
    -17.739     10.876       -0.23704
    -15.908     10.007       -0.14897
    -14.915     10.802        0.47517
    -11.114     7.4576       -0.50797
    -10.382     9.6196     -0.0057837
    -15.155     10.441       -0.33031
    -15.967     9.0453       -0.45646
    -14.323     8.8183       -0.33899
    -9.8527     12.056        0.21701
    -10.247     7.2369       -0.24723
    -15.319      9.558       0.080482
    -13.501       10.6        0.19385
    -13.213     7.1827       -0.50721
    -11.539     9.7211       -0.45492
    -9.5704     7.6169       0.046325
    -8.6037     8.7318      -0.064401
    -13.505     9.6364       -0.54256
    -10.358     7.3632        0.54088
    -15.359     9.0594       -0.27891
    -13.429     8.2042       -0.36625
    -12.552     9.8986      -0.091153
    -10.947     9.8234        -0.4888
    -13.572     8.9985       -0.56391
    -11.305     9.6872       -0.27775
    -11.647     9.0401        -0.2337
    -16.712     10.157       -0.82858
    -15.682     9.3658       -0.40758
    -9.8902     9.9365       -0.12207
    -9.1201     9.7152       -0.21394
    -11.179     7.7637       -0.62354
     -14.29     8.4645       -0.41115
    -13.591     8.3201      -0.063244
    -12.729     9.2276       -0.14809
    -11.872     9.7608       -0.11779
    -10.946      7.975       -0.40737
    -12.803     11.794       0.023996
    -13.617     9.9539      -0.036297
    -12.033     9.2638       -0.38838
    -12.786     9.5543       -0.16308
    -12.962     8.5105        0.10572
    -15.317     8.7475        0.18936
     -12.36      8.204      -0.078967
    -11.608     7.9323        0.21858
    -13.683     8.3286      -0.052866
    -17.265     9.1787       0.089079
    -13.003     8.1902       -0.33737
    -11.892     10.199       -0.51229
    -12.801      8.465       -0.39254
    -10.857     8.2174      -0.020514
    -9.5174     8.8734         -0.453
    -10.894     7.9332       -0.28368
    -11.463      8.108       -0.76684
    -12.487     9.1787        0.32264
    -12.697     10.614       -0.49593
    -12.848     7.8293       -0.29755
    -14.556     12.329       -0.21086
    -10.545     9.0738      -0.012861
    -10.632     9.8782        0.14492
    -12.092     9.0983        0.18776
    -10.648     10.038         0.1409
     -12.11     9.2614      0.0094229
    -13.517     7.8508        -0.3743
    -16.226     10.924       -0.11241
    -11.863      8.793       0.011784
    -11.121     7.6188       -0.20753
    -12.052     9.8919        -0.4185
     -12.33     9.2944       -0.25764
    -14.029     9.4628       0.016173
    -10.911     7.3605       -0.17486
    -9.4953      9.224       -0.18919
    -11.239     8.6444       -0.21184
     -10.32     9.0748       0.022322
    -12.584     7.6384       -0.42515
    -12.797     8.3879       -0.32126
    -12.051     8.3676       -0.43094
    -13.385     8.0108      -0.089522
    -13.349     9.7927       -0.60447
    -20.129     9.4902       -0.60084
    -9.5828     8.5747      -0.014303
    -13.203     10.725      -0.024941
     -11.98     10.169       -0.21831
     -14.54     6.6871       -0.56203
    -10.828     7.2234       -0.23969
    -12.501      7.688       -0.16735
    -13.623     8.6519        0.21558
    -14.864     9.0343        -0.1229
    -16.228     8.9919      -0.057498
    -13.151     8.7601        0.34433
    -13.948     10.421         0.1746
    -12.384     9.5514       -0.73619
    -14.989     12.704        0.14582
    -9.7431     9.1076       -0.37269
    -16.865      8.494        -0.4749
    -11.594     8.4468        0.24128
    -10.288     8.7222      -0.051292
    -11.914     8.8411        0.10999
    -10.839      6.144       -0.19891
    -15.495     9.7939      -0.044952
    -11.674     10.612      -0.085557
    -11.383     8.0422       0.030353
    -9.5535     8.1654      -0.080238
    -8.1249      7.942      -0.060179
    -10.749     7.7074        0.18666
    -11.871     10.494      -0.052073
    -16.491     10.488        -0.1726
     -13.83     10.853        0.10254
    -12.846     8.0061       -0.17129
    -10.854     8.0596      -0.028105
    -12.069     10.201     -0.0035124
    -14.754     8.8889       -0.48043
    -14.689     9.4639       -0.19676
    -10.001     10.167        0.45463
      -12.4      8.333       -0.31545
    -11.374     8.2578      -0.020168
     -9.935     10.643       0.090793
    -15.241     9.4653        0.10797
    -8.4954     10.281       0.020086
     -9.244     9.3799        -1.0458
    -16.668     8.2746       -0.25704
    -9.9928      7.058       -0.18942
    -13.375      8.952        0.23434
    -10.617     7.5155       -0.29978
    -9.4841     9.5538       -0.55233
    -13.011     8.3611       -0.63747
    -7.9427     6.8394       0.088878
    -14.014     8.9258        0.13183
    -11.764     8.4909        0.45597
    -8.9352     9.6865       -0.43656
    -10.399     6.8625        0.35422
    -11.672     7.5494       -0.30297
    -12.696     9.0999       -0.32993
    -13.696     9.8983        0.12101
    -11.216     9.1312       0.048099
    -11.588     9.6715      -0.098612
     -13.83     8.2308        -0.3187
    -13.311     6.2838       0.027113
    -13.465     10.634       -0.45728
    -13.731      7.811       -0.21143
    -13.854     7.2954        0.11323
    -14.517     9.0951       -0.41147
    -10.999     9.7969      -0.045616
    -10.543     8.2065        -1.3492
     -11.72     9.6038        0.19272
    -13.647     8.8665       -0.14921
    -16.555     9.6222       -0.16982
    -17.312     9.4367       -0.16798
    -11.516      10.96       -0.22482
    -13.179     8.6939         -0.205
    -9.3491      9.537       -0.25661
    -7.0225      7.434      -0.031831
    -12.265     9.0363       0.067428
    -15.459     10.237      -0.083135
    -7.4082     9.5205       -0.49052
    -12.624     6.1055       -0.22701
    -15.306     11.292        0.11946
    -8.5656     9.6536       -0.36204
    -12.838     9.4722      -0.098556
    -12.965     8.5805       -0.23395
    -13.202      7.938       -0.13851
    -17.227     7.7457       0.011397
    -12.317     9.0594    -0.00051833
    -13.528      9.218       -0.65606
    -12.892     8.2515       -0.51917
    -15.424     12.092       -0.44561
    -15.488     11.517        0.53085
    -11.527     7.7035        0.45826
    -11.838     12.721        -0.1467
     -13.27     9.3621       -0.11333
    -14.613     9.5795      -0.039669
    -13.569     9.7937      -0.090897
    -11.038     8.9132       -0.10013
    -8.1512     10.411      -0.025155
    -14.084     9.7838      -0.076724
    -10.239     7.3679        -0.2579
    -14.197     11.825       -0.44972
    -10.279     9.5352      -0.007465
    -13.598     9.8419      -0.026029
    -12.749     8.6489       -0.21204
    -9.9392     9.0064       -0.06456
    -11.103     10.029       -0.34445
    -8.1671     9.0054       -0.39587
    -11.571     11.691        -1.0911
    -15.571     11.698       -0.40179
    -15.002     8.5262       -0.86119
    -13.597     8.4242       0.056309
    -7.1922     9.6007       -0.02415
    -7.5379     10.288       0.048821
     -12.02     9.8864       -0.51152
    -10.917     9.8441       -0.20703
    -19.267      9.663       -0.13269
    -14.909     7.6621       -0.48936
    -13.548     9.9361       -0.34424
    -13.139     7.8646       -0.25521
    -12.451     8.4235       -0.49721
     -17.67     10.199       -0.31927
    -13.158     9.3965        -0.6586
    -13.863     8.8122       -0.36361
    -12.531     8.2583       -0.15177
    -15.602     9.6998       -0.12454
    -12.226     9.4963        0.11024
    -11.991     7.4644        0.15783
    -13.783      8.954       -0.87133
    -11.553      10.11       -0.14618
    -11.537      9.577      -0.025184
    -14.037     8.3119         0.5106
    -16.142     9.4993      -0.001043
    -13.476     9.7225       -0.21789
    -8.6592     10.296      -0.022526
    -11.515     9.4754        0.45797
    -14.739     9.1938        0.10624
    -12.342     8.9546       -0.35878
    -14.672     7.4629       -0.63594
    -7.4518     7.9691       -0.34871
    -8.4286     9.3456       -0.15355
    -13.575     8.5694       0.014801
    -15.475     9.7327       -0.46556
    -12.044     9.6674       -0.21842
    -13.597     10.116        0.35298
    -14.672      8.745        0.68948
    -13.822     8.8485       -0.31221
    -9.1788     11.121        0.55979
    -12.844     10.092       -0.13446
    -10.733     10.878       -0.63176
    -12.268     9.3707       -0.14751
    -16.016     10.574       -0.12669
    -12.797     8.4665        -0.4603
    -12.059     8.3942       0.056455
    -12.759     10.964       -0.57691
    -8.6912     8.5128       -0.52951
    -9.5533      8.803       -0.46828
    -12.143     8.4933      -0.071902
     -11.77      8.315       -0.20492
    -11.638     9.1925       -0.57525
    -8.5869     8.9612       -0.64028
    -13.422      10.97       -0.46274
    -7.9818     9.8227        0.38613
    -14.332      7.184       -0.10823
     -14.33      10.58      0.0098456
    -11.008     8.5583       -0.34852
    -13.364     7.2709      -0.084094
    -9.3459     9.7076      -0.068299
    -12.551     8.5141        0.11843
     -10.94     8.5804       -0.29017
    -11.455     10.844       -0.48666
    -11.594     10.497      -0.054977
    -12.814     11.813       -0.24304
    -14.026     10.287        0.25835
    -15.574     8.3801        0.42777
    -12.237     8.7415      0.0042414
    -11.691     7.4731       -0.17868
    -9.6122     9.4537       -0.36294
    -12.796     10.897       -0.06051
    -14.753     10.128       -0.24194
    -12.159      9.672       0.015908
    -11.419     9.1923       -0.13886
    -14.137     10.215       -0.28192
    -11.462     8.9819       -0.18782
     -11.72     11.027       -0.85009
    -13.038     8.1047      -0.076963
    -16.104     8.2361      -0.067973
    -11.283     7.8684       -0.48933
    -18.779      8.774       0.037639
    -11.846     6.8659        0.47356
     -14.78     9.0196       -0.55452
     -16.14     9.1466        0.19428
    -14.557     10.162       -0.13524
    -12.505     9.3753       -0.55235
     -10.95     8.6246       0.033574
    -12.773     9.0994       -0.16716
    -10.226     9.1388        0.58453
    -14.431     8.9317       -0.52844
    -10.557     9.0574       -0.43089
    -10.625     8.3233       -0.12931
     -10.12     9.8389        0.18173
    -10.762     10.004       -0.24057
    -12.427     7.5602         0.1684
    -14.284     9.1606       -0.45082
    -12.888     9.8435        0.26688
    -10.514     8.5223       -0.14533
    -15.422     10.297       -0.28867
    -15.254     9.2413       0.049599
    -11.309     8.8907       -0.25619
    -13.256     8.4712        0.12293
    -11.429     7.0945        0.38768
    -11.721     9.9262       -0.30695
    -10.132     8.1071        0.23801
    -11.965     10.189        0.11787
    -16.773     10.768       -0.68242
    -11.481      7.858       -0.46117
    -15.266      8.385        0.41031
    -9.9244     8.4111       -0.16275
    -12.307     9.7087       -0.60802
    -16.499     9.6967       -0.10678
    -13.941     8.0518       -0.37264
    -13.492     9.1636       0.027407
    -10.685     9.7481      0.0079134
    -9.0599     7.7472        0.15729
    -14.811     9.9796        0.11011
    -11.324     10.051       -0.38627
    -9.8357     9.5898       -0.73177
    -9.9449     7.8378       -0.19205
    -14.815     9.4255       0.019623
    -15.316     11.952       -0.48317
    -7.1656     8.6744        0.16412
    -15.161     7.2397       -0.11303
    -11.837     11.117       0.088012
    -18.355      7.693        0.16011
    -11.131      9.205       -0.41743
    -12.091     7.4651        0.26095
    -9.5492     9.9804        0.44152
    -11.718     9.3244       0.054006
     -13.36     10.479        -0.2302
    -7.8657     6.9141       -0.30853
    -13.814     10.133     -0.0069634
    -13.931     9.2072       -0.11694
    -14.603     11.517       -0.34365
    -10.457     10.205       -0.26172
    -11.372     9.9582      -0.017456
    -12.866     8.7051         0.2156
     -10.07     8.1978       -0.04944
    -12.356     9.0407        -0.6718
     -10.63     8.5738         -0.429
    -14.767     8.4283       -0.40155
    -15.615     9.3335       0.086926
    -14.651     9.3304      -0.017087
    -11.153     7.5419       -0.40763
    -11.411     7.3764       -0.30635
    -12.743     9.0213       -0.10116
    -15.288     10.738       -0.36471
    -12.788     8.2905       -0.15886
    -15.459     9.3295       -0.18563
    -14.739      8.544       0.088541
    -8.0286     8.6121        0.26746
     -13.91     9.4134       -0.64177
    -14.132     10.191       -0.05091
     -9.693      9.043      -0.010066
    -11.646     8.4097        -0.9599
     -11.72     10.246       -0.45823
    -12.403     8.2894       -0.13586
    -12.018     7.9132    -7.6477e-05
     -15.09     10.211        -1.0145
    -11.157     9.7689       -0.35889
    -14.951     8.8196        -0.5958
    -10.881     7.1268       -0.29999
    -10.743     8.6398       0.096954
     -12.72     8.2052       -0.49498
    -12.466     9.2715       -0.57185
    -12.808     7.8949      -0.075391
    -9.9369      10.05        0.10621
    -12.503     9.9012       -0.15461
     -12.52     9.1314        -0.5811
    -11.825     8.5484       -0.15814
    -11.853     8.6238       -0.31496
    -10.264     8.2766        -0.5059
    -8.7921     9.3709       -0.26923
    -16.238     10.315      -0.084605
      -12.6     8.7992       -0.26501
    -8.6182     7.8114       -0.12846
    -10.834     9.2324       0.071669
    -13.772     8.1921        -0.6162
    -12.759     9.4333       -0.56762
    -15.117     8.4449        0.06833
    -10.242     7.7471       -0.29144
    -12.436     11.166       -0.20591
    -10.178      8.531        0.32553
    -10.329      8.966       -0.34867
    -14.316     11.558       -0.30152
    -17.327     10.381      -0.052799
    -20.472     7.1767       -0.18804
    -14.519     8.7341         0.2092
    -13.926     10.462       0.088017
    -14.247     8.3384      -0.011289
    -12.465     8.4384      -0.037456
    -10.968     7.4701        -0.1631
    -12.179     8.6307      -0.066286
    -13.546     9.5232       -0.29602
    -10.611     8.6466        0.25379
    -11.324      8.319        0.14707
    -8.6875     7.8071       -0.24371
    -11.001     8.2911       -0.75729
    -7.5007     6.9796      -0.016177
    -13.779     9.3142        0.24567
    -11.294     8.9436        0.19114
    -9.9305     10.403      -0.033809
    -14.722      8.095        0.64271
    -15.507     9.4576       0.098042
     -15.45     9.6496      -0.020466
    -13.435     8.4325       -0.47617
    -17.094     8.4682         0.1503
    -10.642     9.2558       -0.52276
     -12.87     9.2905       -0.28026
    -12.936      7.564       -0.17797
    -9.2562     10.685       -0.36053
    -15.638     9.7295       -0.51642
    -12.736     9.8416       -0.44325
    -8.6025     9.1702       -0.17295
    -13.023     9.3112      -0.058482
    -10.267     10.082        0.86579
    -13.435     10.111       -0.32773
    -8.8562     7.4169        0.35886
    -14.892     9.0669       -0.31274
    -15.418     8.9765       -0.30362
    -12.892     7.6457        0.11947
    -10.535     7.4072      0.0051066
    -11.489     10.249       -0.47236
     -10.22     8.1191      0.0078062
    -15.882     10.424       -0.40049
    -12.644     10.104       -0.12278
    -11.513     8.9279        -0.1195
    -14.615     9.3313        0.26151
    -14.159     8.8559       -0.30013
     -13.64     8.7677        -0.2574
    -11.852     10.911        -0.2527
    -12.974     7.9844        0.19101
    -15.389     9.0427       -0.39374
    -9.7076     8.3207        0.22657
    -12.414     9.1684       -0.22388
    -13.773     9.9239        0.08453
     -10.17     10.231       -0.66727
    -9.6535     9.4791         0.1611
    -16.086     9.6155       -0.70133
    -13.319     8.8919       -0.83013
    -13.029     8.6663       -0.49992
    -14.803     7.3606       -0.10295
    -13.961     8.8455       -0.18246
    -9.3835     8.2569        0.20535
    -11.002     9.0665     -0.0016919
    -12.708     8.2306       0.045368
    -10.382     8.7583       -0.11996
    -15.048       7.73       -0.45905
    -12.071     8.7134       -0.32148
    -14.662     11.465      -0.019135
      -14.1     7.9169       0.045064
    -13.783      10.63       -0.60807
    -9.3103     9.3517       -0.33755
    -9.3642     8.4987       -0.43865
    -10.076     7.5781      -0.079522
    -12.042     7.7997      -0.076237
    -11.623     10.161      -0.032402
     -12.46     8.9365       -0.88548
    -10.108     7.5029       -0.40698
    -14.173     8.9937       -0.17675
    -10.909     8.7544       -0.52799
     -10.46      10.19       -0.74665
    -13.543     9.1123        -0.2849
    -10.839     7.4071         0.2618
    -10.806     9.1723       -0.23255
    -12.347     8.5202        -0.1784
    -12.843     10.674       -0.35566
    -15.119     10.233       0.077294
    -15.011     10.558       -0.16678
    -16.375     10.797       -0.22083
    -15.265     8.6287      0.0023465
    -13.946     8.2356         0.2339
     -14.71     8.5884       -0.43324
    -11.045     7.3188     -0.0086192
    -13.853     8.4749       -0.59771
    -8.7321     10.756        0.20276
    -11.689      9.717      -0.024992
    -13.707     8.0517        -1.2038
    -16.477      8.999         0.2735
    -15.181     8.6323       -0.51313
    -12.634     6.5342        0.16569
    -14.552     10.128       -0.31327
    -11.626     7.1027      -0.065246
    -13.394     9.8834      -0.099957
    -13.474     9.0078       -0.47441
     -10.24     8.3384       -0.13999
     -13.18      9.282       -0.67239
    -11.459     8.2292      -0.085279
    -15.071     9.5624        0.12169
    -12.519     8.5672       -0.33067
    -13.836     9.0906       -0.29904
    -15.188     10.369       -0.31482
    -13.969     11.401        0.14784
    -8.7625     9.5603      -0.098373
    -14.085     8.7533     -0.0012614
    -14.747     11.075       -0.30126
    -11.171     9.6154        0.08224
    -8.6555     9.8302       -0.40218
    -13.483     8.5102        0.20631
    -12.069     11.246       -0.45547
    -14.857     10.291       -0.48665
    -9.0203     9.4681      -0.068831
     -13.54     10.725       -0.46339
    -8.8573     9.5178       -0.34958
    -16.657     11.324      -0.014062
    -9.8729     9.0423        0.34569
    -11.064     9.9862       -0.11257
    -8.9856     10.101       -0.61782
    -13.697     9.3308        -0.1478
    -9.7476     11.749       -0.27602
    -8.9689     8.6941       -0.73875
    -9.8857     9.2373       -0.25497
    -11.598     8.9971      -0.066316
    -14.831     10.109        0.22116
    -14.294      8.197       0.088886
    -13.915     7.6576       -0.16785
     -13.49     8.7687       -0.34075
    -14.908     8.7725        0.63468
     -11.02     10.912       -0.11649
     -11.44     9.0577       -0.38925
    -7.3302      10.38       0.044733
    -14.939     8.7142        0.21311
    -11.241     10.502     -0.0054851
    -11.647      8.735     -0.0044959
    -10.169     9.1804        -0.4149
    -10.796     8.6239        0.11353
    -10.115     9.6186      -0.099636
    -10.743     9.3759        0.33618
    -10.504     8.7693       -0.23308
    -13.269     10.214        0.22643
    -9.8272     7.5169        0.11745
    -11.055     8.4085       0.095146
    -7.1825     9.3007        -0.6145
    -11.144     8.5926        0.15077
    -11.405      8.278       -0.11187
    -14.472     9.1952       0.092399
    -13.816     9.8787      -0.079428
    -13.017     10.583      -0.050262
     -7.985     10.181       0.018431
    -8.5095     8.5758       -0.38094
