************************************************************
             mc_replic: 2400
             prune_tol: [1.000000000000000e-06 1.000000000000000e-04 0.010000000000000]
           data_burnin: 100
              x_burnin: 20
         Harvey_factor: 10
              loss_fct: [1×1 struct]
           cdfmvna_fct: "logmvncdf_ME"
               poolobj: [1×1 parallel.ProcessPool]
    physical_cores_nbr: 8
         computer_arch: 'maca64'
         parameter_set: 'DGP2'
              seed_nbr: 1.936362161000000e+09
           sample_size: 80
              filename: 'results_state_estimation_DGP2_T80_R2400_maca64'
               logfile: 'results/results_state_estimation_DGP2_T80_R2400_maca64.log'

************************************************************
Parameter Matrix G:
   0.537300000000000   0.263400000000000   0.102900000000000  -0.164900000000000
   0.201700000000000   0.581200000000000   0.322700000000000  -0.088600000000000
   0.119600000000000  -0.074900000000000   0.837100000000000   0.153000000000000
  -0.025100000000000  -0.028100000000000   0.019700000000000   0.352400000000000

Parameter Matrix F:
  -0.239100000000000  -0.169000000000000   0.074700000000000  -0.667600000000000
  -1.033900000000000  -0.888200000000000   0.599700000000000  -1.225600000000000
  -0.258800000000000  -0.525800000000000   1.031000000000000  -1.740200000000000

Parameter Matrix R:
     1     0     0     0
     0     1     0     0
     0     0     1     0
     0     0     0     1

Parameter Matrix mu_eps:
  -0.656900000000000
  -1.020100000000000
   0.744200000000000

Parameter Matrix Sigma_eps:
   1.0e-06 *

   0.577600000000000  -0.228000000000000  -0.091200000000000
  -0.228000000000000   0.525600000000000   0.425400000000000
  -0.091200000000000   0.425400000000000   0.430100000000000

Parameter Matrix mu_eta:
   0.785400000000000
  -1.487000000000000
  -0.070400000000000
  -0.676100000000000

Parameter Matrix Sigma_eta:
   0.005625000000000  -0.002625000000000  -0.046950000000000  -0.024225000000000
  -0.002625000000000   0.036946000000000   0.055552000000000   0.038710000000000
  -0.046950000000000   0.055552000000000   1.542924000000000  -0.305224000000000
  -0.024225000000000   0.038710000000000  -0.305224000000000   0.408611000000000

Parameter Matrix nu_eta:
     0
     0
     0
     0

Parameter Matrix Gamma_eta:
  41.833760994884727  -5.071538781670152   2.339524325024803   4.598162859417349
  -5.071538781670332   5.954231316364762  -0.571119358456840  -1.160646197129784
   2.339524325024809  -0.571119358456831   0.898979711057306   0.497112373889859
   4.598162859417370  -1.160646197129768   0.497112373889859   2.085990141138555

Parameter Matrix Delta_eta:
   0.207900000000000                   0                   0                   0
                   0   0.207900000000000                   0                   0
                   0                   0   0.207900000000000                   0
                   0                   0                   0   0.207900000000000

Parameter Matrix lambda_eta:
   0.890000000000000

Parameter Matrix sqrt_Sigma_eta:
   0.030782620863831   0.012104994553557  -0.044483856233044  -0.050518173900587
   0.012104994553556   0.176002677106077   0.047125296327186   0.060014441632220
  -0.044483856233043   0.047125296327186   1.228942982959905  -0.168592816022288
  -0.050518173900587   0.060014441632220  -0.168592816022288   0.611582899766662

************************************************************
************************************************************
          SUMMARY STATISTICS
    <strong>mean(y1)</strong>    <strong>sd(y1)</strong>     <strong>skew(y1)</strong>    <strong>mean(y2)</strong>    <strong>sd(y2)</strong>     <strong>skew(y2)</strong>     <strong>mean(y3)</strong>        <strong>sd(y3)</strong>        <strong>skew(y3)</strong>  
    <strong>________</strong>    <strong>_______</strong>    <strong>________</strong>    <strong>________</strong>    <strong>_______</strong>    <strong>________</strong>    <strong>___________</strong>    <strong>___________</strong>    <strong>___________</strong>

    -1.6652     -5.6053     4.1213     0.42484      1.5773     1.3538         0.13507        0.64727        0.16231
    -1.7846     -6.3019     4.3785     0.44896      1.6079     1.5719         0.09872        0.16632       0.074794
    -1.6188     -5.4811     4.2054     0.53908      2.1529     1.8605        -0.51969       -0.49816        0.22467
    -1.3972     -4.3598     3.9805      0.4474      1.5972     1.4778        -0.50579        0.16796        0.21299
    -1.7099     -6.0171     4.4299     0.45915      1.8887     1.4891       0.0049991       -0.13677      -0.030016
    -1.5583     -5.3367     4.2369     0.38922      1.3514     1.4355         0.27316        0.53307        0.29562
    -1.7441     -6.2799     4.8302     0.54124      2.2266     1.5385        -0.14917       0.055396       0.053403
    -1.8496     -6.3733     4.1855     0.39989      1.4633       1.64         0.66783        0.36165         0.4321
    -1.6307     -5.3761     3.9303     0.49811      1.9643     1.5645         0.37958        0.66004       -0.66084
    -1.6162     -5.4364     4.0802     0.57146      2.2615     1.7373         0.19929        0.19998        0.51402
    -1.5159     -5.1019     4.3593     0.41214      1.5211     1.4114        -0.04933       -0.56621       0.077223
    -1.4581     -4.9089      3.987     0.44604      1.5845     1.3445        -0.21751        0.48524       -0.81631
    -1.9959      -7.163     4.6754     0.58774      2.4788     1.9142        0.081987      -0.021698       -0.00115
    -1.8355     -6.2784     4.0263     0.46646      1.7257     1.7795         0.11972        0.38823      -0.087991
    -1.6546     -5.6772     4.2541     0.49382      1.8805     1.6577        -0.22042        -0.0673         0.1864
     -1.621     -5.5459     4.3086     0.42599      1.5341     1.4825         0.22917        0.44805       -0.03637
    -1.9799     -6.8816     4.2123     0.51431      1.8192     1.8703        -0.56005       -0.29061        -0.1814
    -1.8285     -6.3283     4.2143     0.49488      1.6075     1.5007         0.42242        0.69663        0.24408
    -2.0032     -7.4049     4.6126     0.39499      1.5682     1.6593         0.15045       -0.12429       -0.12647
    -1.6022     -5.5394     4.2681     0.50904      1.9076     1.5858        -0.12683       0.096269        0.46295
    -1.6153      -5.615     4.1044     0.71336       2.833     1.9324        -0.22869       -0.41748        0.37431
     -1.832     -6.3937     4.5036     0.50613      1.9605     1.4912         0.23553        0.24184       0.055313
    -1.6451     -5.6408     4.2038     0.48911      1.7706      1.395         -0.1426        0.23812       -0.69386
    -1.8048     -6.3304     4.2249     0.46899      1.8734     1.7867         0.13328        0.28752        0.49304
    -1.4831     -5.0979      4.308     0.35215      1.1568     1.2398         0.15264       0.097271       -0.47239
    -1.7798     -6.0985     4.1767     0.45136      1.5623     1.5915       -0.012691        0.33577       0.040024
    -1.6026     -5.4846      4.204     0.52816      2.0675      1.623        -0.27697        -0.4823        0.77181
    -1.4987      -4.573     4.0656     0.60624      2.4875     1.6379        -0.58188       -0.68754       0.004408
    -1.7257     -5.8936      4.251     0.63878      2.4888     2.0143         0.42774        0.51926         0.1487
    -1.9234     -6.8416     4.3974     0.53758      2.0675     1.5276         0.39077        0.45076       -0.30582
