dataset_id,T,parameter_type,shock,value,exitflag
1,200,stderr,eta_a,2.50772662412456,2
1,200,stderr,eta_e,0.0210009279902702,2
1,200,stderr,eta_z,0.783556231375631,2
1,200,stderr,eta_r,0.282729238044948,2
1,200,skew,eta_a,0.00197200343899226,2
1,200,skew,eta_e,-0.555367949057642,2
1,200,skew,eta_z,-0.966318652519713,2
1,200,skew,eta_r,0.43626733544761,2
2,200,stderr,eta_a,2.5272401685591,2
2,200,stderr,eta_e,0.0188189330150096,2
2,200,stderr,eta_z,0.806300094454514,2
2,200,stderr,eta_r,0.285102327264691,2
2,200,skew,eta_a,-0.000876067890118373,2
2,200,skew,eta_e,-0.752673529511492,2
2,200,skew,eta_z,-0.852717876644293,2
2,200,skew,eta_r,0.638387811941478,2
3,200,stderr,eta_a,2.5551589074124,2
3,200,stderr,eta_e,0.0213252282423049,2
3,200,stderr,eta_z,0.768629343171324,2
3,200,stderr,eta_r,0.28353594103541,2
3,200,skew,eta_a,0.0124501944979173,2
3,200,skew,eta_e,-0.99526790480543,2
3,200,skew,eta_z,-0.803628930704808,2
3,200,skew,eta_r,0.540368169033741,2
4,200,stderr,eta_a,2.47737849984186,2
4,200,stderr,eta_e,-0.0209467052907866,2
4,200,stderr,eta_z,0.780211657133981,2
4,200,stderr,eta_r,0.28216254329622,2
4,200,skew,eta_a,0.116242052576162,2
4,200,skew,eta_e,-0.85976353080403,2
4,200,skew,eta_z,-0.99519540877512,2
4,200,skew,eta_r,0.609230126966066,2
5,200,stderr,eta_a,2.43627831179359,2
5,200,stderr,eta_e,0.0225096060168873,2
5,200,stderr,eta_z,0.742633596386258,2
5,200,stderr,eta_r,0.278663205189146,2
5,200,skew,eta_a,3.27176923753977e-05,2
5,200,skew,eta_e,-0.347983199637083,2
5,200,skew,eta_z,-0.964970177592426,2
5,200,skew,eta_r,0.464795061610268,2
6,200,stderr,eta_a,2.53277967193777,2
6,200,stderr,eta_e,0.0184344608044629,2
6,200,stderr,eta_z,0.839258131754637,2
6,200,stderr,eta_r,0.285478596210498,2
6,200,skew,eta_a,0.0600540129781243,2
6,200,skew,eta_e,-0.703506824095362,2
6,200,skew,eta_z,-0.919890662446459,2
6,200,skew,eta_r,0.675302706766177,2
7,200,stderr,eta_a,2.52320081745492,2
7,200,stderr,eta_e,0.0212245533357914,2
7,200,stderr,eta_z,0.789997990924582,2
7,200,stderr,eta_r,0.283808063110242,2
7,200,skew,eta_a,1.51106582374709e-05,2
7,200,skew,eta_e,-0.400000287126659,2
7,200,skew,eta_z,-0.800000086302183,2
7,200,skew,eta_r,0.549998372350649,2
8,200,stderr,eta_a,2.58524943431844,2
8,200,stderr,eta_e,0.0216654499795528,2
8,200,stderr,eta_z,0.797332301748746,2
8,200,stderr,eta_r,0.286328720304789,2
8,200,skew,eta_a,0.00771524923875286,2
8,200,skew,eta_e,-0.44865284590213,2
8,200,skew,eta_z,-0.879422606030783,2
8,200,skew,eta_r,0.660483658830145,2
9,200,stderr,eta_a,2.50244651011286,2
9,200,stderr,eta_e,0.024837506497188,2
9,200,stderr,eta_z,0.731052052671776,2
9,200,stderr,eta_r,0.268651275877318,2
9,200,skew,eta_a,-0.507992084014465,2
9,200,skew,eta_e,-0.636004871306222,2
9,200,skew,eta_z,-0.990604309613467,2
9,200,skew,eta_r,0.771220710229001,2
10,200,stderr,eta_a,2.45125245911114,2
10,200,stderr,eta_e,0.0208445210101068,2
10,200,stderr,eta_z,0.846128415637702,2
10,200,stderr,eta_r,0.28801283421587,2
10,200,skew,eta_a,-0.209308700100615,2
10,200,skew,eta_e,-0.619427055934542,2
10,200,skew,eta_z,-0.994888676405117,2
10,200,skew,eta_r,0.523984544650636,2
11,200,stderr,eta_a,2.55077169928979,2
11,200,stderr,eta_e,0.0215321551762517,2
11,200,stderr,eta_z,0.79232475945643,2
11,200,stderr,eta_r,0.27228050793071,2
11,200,skew,eta_a,-0.428164254144272,2
11,200,skew,eta_e,-0.639118983620064,2
11,200,skew,eta_z,-0.659058799913579,2
11,200,skew,eta_r,0.714109830359611,2
12,200,stderr,eta_a,2.53186001198181,2
12,200,stderr,eta_e,0.0202823073158065,2
12,200,stderr,eta_z,0.790768298122953,2
12,200,stderr,eta_r,0.289241923726059,2
12,200,skew,eta_a,-0.246416603437131,2
12,200,skew,eta_e,-0.185804210217821,2
12,200,skew,eta_z,-0.852906171065694,2
12,200,skew,eta_r,0.457720219857929,2
13,200,stderr,eta_a,2.50466833768324,2
13,200,stderr,eta_e,0.0211725105421685,2
13,200,stderr,eta_z,0.792982483513001,2
13,200,stderr,eta_r,0.286250873665586,2
13,200,skew,eta_a,-0.231962132684313,2
13,200,skew,eta_e,-0.549912172373988,2
13,200,skew,eta_z,-0.959152780406498,2
13,200,skew,eta_r,0.799004395049529,2
14,200,stderr,eta_a,2.53107227898638,2
14,200,stderr,eta_e,0.0224090809814575,2
14,200,stderr,eta_z,0.80088513508697,2
14,200,stderr,eta_r,0.289631977667883,2
14,200,skew,eta_a,0.0168798378157845,2
14,200,skew,eta_e,-0.874816317125931,2
14,200,skew,eta_z,-0.857181762823285,2
14,200,skew,eta_r,0.628778931251554,2
15,200,stderr,eta_a,2.4430363713999,2
15,200,stderr,eta_e,0.0207496397691005,2
15,200,stderr,eta_z,0.834806256516696,2
15,200,stderr,eta_r,0.286429213444246,2
15,200,skew,eta_a,0.00185706231603055,2
15,200,skew,eta_e,-0.738075613198686,2
15,200,skew,eta_z,-0.426980442065411,2
15,200,skew,eta_r,0.578542073163249,2
16,200,stderr,eta_a,2.5232,2
16,200,stderr,eta_e,0.0212,2
16,200,stderr,eta_z,0.79,2
16,200,stderr,eta_r,0.2838,2
16,200,skew,eta_a,0,2
16,200,skew,eta_e,-0.4,2
16,200,skew,eta_z,-0.8,2
16,200,skew,eta_r,0.55,2
17,200,stderr,eta_a,2.60594001445127,2
17,200,stderr,eta_e,0.0202891346927659,2
17,200,stderr,eta_z,0.845081911067195,2
17,200,stderr,eta_r,0.285536393581219,2
17,200,skew,eta_a,-0.494029324601101,2
17,200,skew,eta_e,-0.803498362562541,2
17,200,skew,eta_z,-0.991680600763226,2
17,200,skew,eta_r,0.754477182459635,2
18,200,stderr,eta_a,2.47273059416094,2
18,200,stderr,eta_e,0.0229192217133664,2
18,200,stderr,eta_z,0.789599371351161,2
18,200,stderr,eta_r,0.278904393141675,2
18,200,skew,eta_a,0.00249042107485444,2
18,200,skew,eta_e,-0.919476852904502,2
18,200,skew,eta_z,-0.954259119948613,2
18,200,skew,eta_r,0.627658382924944,2
19,200,stderr,eta_a,2.48286290461674,2
19,200,stderr,eta_e,0.0198725431726271,2
19,200,stderr,eta_z,0.810777418913253,2
19,200,stderr,eta_r,0.284141380054302,2
19,200,skew,eta_a,-0.0370902465566908,2
19,200,skew,eta_e,-0.161488325068512,2
19,200,skew,eta_z,-0.72717651254128,2
19,200,skew,eta_r,0.536247029177716,2
20,200,stderr,eta_a,2.51193361969451,2
20,200,stderr,eta_e,0.0194808644260997,2
20,200,stderr,eta_z,0.818371987658434,2
20,200,stderr,eta_r,0.282096641296042,2
20,200,skew,eta_a,0.0803717963499663,2
20,200,skew,eta_e,-0.548336330069635,2
20,200,skew,eta_z,-0.976778222892176,2
20,200,skew,eta_r,0.565071079847105,2
21,200,stderr,eta_a,2.51961989839206,2
21,200,stderr,eta_e,0.0208417918011054,2
21,200,stderr,eta_z,0.783744273936988,2
21,200,stderr,eta_r,0.290065789402531,2
21,200,skew,eta_a,0.00504408153535499,2
21,200,skew,eta_e,-0.740826227044906,2
21,200,skew,eta_z,-0.99308907332958,2
21,200,skew,eta_r,0.756048368299315,2
22,200,stderr,eta_a,2.48925923961663,2
22,200,stderr,eta_e,0.0210719517936642,2
22,200,stderr,eta_z,0.817004834387926,2
22,200,stderr,eta_r,0.288363263206378,2
22,200,skew,eta_a,-0.231306293869765,2
22,200,skew,eta_e,-0.202413793975757,2
22,200,skew,eta_z,-0.536523924786544,2
22,200,skew,eta_r,0.637200535295932,2
23,200,stderr,eta_a,2.57047231387583,2
23,200,stderr,eta_e,0.0206681005295923,2
23,200,stderr,eta_z,0.787695499943747,2
23,200,stderr,eta_r,0.288151467259386,2
23,200,skew,eta_a,0.0111577424612972,2
23,200,skew,eta_e,-0.702205687453133,2
23,200,skew,eta_z,-0.986072105719336,2
23,200,skew,eta_r,0.706576248562,2
24,200,stderr,eta_a,2.57116941788245,2
24,200,stderr,eta_e,0.0212604515165389,2
24,200,stderr,eta_z,0.781459381826533,2
24,200,stderr,eta_r,0.274228398352841,2
24,200,skew,eta_a,-6.03323350274745e-05,2
24,200,skew,eta_e,-0.264421063002772,2
24,200,skew,eta_z,-0.780196968394032,2
24,200,skew,eta_r,0.513002232774061,2
25,200,stderr,eta_a,2.56394174107773,2
25,200,stderr,eta_e,0.0209750139922805,2
25,200,stderr,eta_z,0.758217262444907,2
25,200,stderr,eta_r,0.280624198131261,2
25,200,skew,eta_a,0.00320343971933759,2
25,200,skew,eta_e,-0.542359881607497,2
25,200,skew,eta_z,-0.958544045609404,2
