dataset_id,T,parameter_type,shock,value,exitflag
1,200,stderr,eta_a,2.53553265421708,2
1,200,stderr,eta_e,0.0206386165430363,2
1,200,stderr,eta_z,0.789232706152242,2
1,200,stderr,eta_r,0.286807109251615,2
2,200,stderr,eta_a,2.52511723813893,2
2,200,stderr,eta_e,0.0210055145264743,2
2,200,stderr,eta_z,0.768854594724824,2
2,200,stderr,eta_r,0.287502527338622,2
3,200,stderr,eta_a,2.51048188787345,2
3,200,stderr,eta_e,0.0199979291983441,2
3,200,stderr,eta_z,0.789455101171329,2
3,200,stderr,eta_r,0.293101680408713,2
4,200,stderr,eta_a,2.53197650314786,2
4,200,stderr,eta_e,0.0208413205106952,2
4,200,stderr,eta_z,0.822709663773444,2
4,200,stderr,eta_r,0.291853840841889,2
5,200,stderr,eta_a,2.48018918122251,2
5,200,stderr,eta_e,0.0195749997955702,2
5,200,stderr,eta_z,0.813335508370215,2
5,200,stderr,eta_r,0.283905831104494,2
6,200,stderr,eta_a,2.55300544563096,2
6,200,stderr,eta_e,0.0231452094285786,2
6,200,stderr,eta_z,0.78966997820992,2
6,200,stderr,eta_r,0.286430038931596,2
7,200,stderr,eta_a,2.51964172539178,2
7,200,stderr,eta_e,0.0230396427487408,2
7,200,stderr,eta_z,0.762002225041265,2
7,200,stderr,eta_r,0.286577126440318,2
8,200,stderr,eta_a,2.56541933283633,2
8,200,stderr,eta_e,0.0186981631428214,2
8,200,stderr,eta_z,0.831214254567169,2
8,200,stderr,eta_r,0.285695119202801,2
9,200,stderr,eta_a,2.57564526246987,2
9,200,stderr,eta_e,0.0203297600428505,2
9,200,stderr,eta_z,0.781670447042492,2
9,200,stderr,eta_r,0.286543039662736,2
10,200,stderr,eta_a,2.48437124466107,2
10,200,stderr,eta_e,0.021230996089252,2
10,200,stderr,eta_z,0.792613641311793,2
10,200,stderr,eta_r,0.287192423780024,2
11,200,stderr,eta_a,2.53977825325573,2
11,200,stderr,eta_e,0.0224217674617585,2
11,200,stderr,eta_z,0.78522711488724,2
11,200,stderr,eta_r,0.292090975608744,2
12,200,stderr,eta_a,2.54788123110771,2
12,200,stderr,eta_e,0.0193506981810244,2
12,200,stderr,eta_z,0.80213346979573,2
12,200,stderr,eta_r,0.286243660964406,2
13,200,stderr,eta_a,2.560693805004,2
