Starting Dynare (version 7-unstable).
Calling Dynare with arguments: none
Using build directory: /Users/wmutschl/Work/Forschung/Projects/Skewed_Kalman/replication_codes/dynare-csn/matlab/../build-matlab
Starting preprocessing of the model file ...
Found 8 equation(s).
Evaluating expressions...
Computing static model derivatives (order 1).
Normalizing the static model...
Finding the optimal block decomposition of the static model...
6 block(s) found:
  5 recursive block(s) and 1 simultaneous block(s).
  the largest simultaneous block has 2 equation(s)
                                 and 2 feedback variable(s).
Computing dynamic model derivatives (order 2).
Normalizing the dynamic model...
Finding the optimal block decomposition of the dynamic model...
2 block(s) found:
  1 recursive block(s) and 1 simultaneous block(s).
  the largest simultaneous block has 5 equation(s)
                                 and 5 feedback variable(s).
Preprocessing completed.
Preprocessing time: 0h00m00s.

You did not declare endogenous variables after the estimation/calib_smoother command.
Initial value of the log posterior (or likelihood): 1206.2242

Simplex initialization...
Done!

Objective function value: -1206.7545

#Iter.      #FnCalls.   Best Value      Worst Value     Norm(f)        Norm(x)        Move
1           13          -1.2067545E+03  -1.2050199E+03  1.7345833E+00  1.5100000E-01  contract outside
2           15          -1.2067545E+03  -1.2054816E+03  1.2729378E+00  1.5100000E-01  contract inside
3           22          -1.2073188E+03  -1.2059326E+03  1.3862472E+00  1.0199710E-01  expand-opt
4           24          -1.2073188E+03  -1.2060482E+03  1.2705859E+00  1.0199710E-01  contract inside
5           25          -1.2073188E+03  -1.2061859E+03  1.1328887E+00  1.0199710E-01  reflect-0
6           27          -1.2073188E+03  -1.2061885E+03  1.1303422E+00  1.0199710E-01  contract inside
7           28          -1.2073188E+03  -1.2062242E+03  1.0945928E+00  1.0199710E-01  reflect-0
8           29          -1.2073188E+03  -1.2062860E+03  1.0328473E+00  1.0199710E-01  reflect-0
9           30          -1.2073188E+03  -1.2063145E+03  1.0042918E+00  1.4979497E-01  reflect-0
10          31          -1.2073188E+03  -1.2063347E+03  9.8411547E-01  1.4979497E-01  reflect-0
11          32          -1.2073188E+03  -1.2065330E+03  7.8585068E-01  1.4979497E-01  reflect-0
12          33          -1.2073188E+03  -1.2065552E+03  7.6359954E-01  1.4979497E-01  reflect-0
13          35          -1.2073637E+03  -1.2067072E+03  6.5656216E-01  1.2597797E-01  reflect-1
14          36          -1.2073637E+03  -1.2067545E+03  6.0925093E-01  1.2597797E-01  reflect-0
15          38          -1.2073637E+03  -1.2067694E+03  5.9436069E-01  1.2597797E-01  contract inside
16          39          -1.2073637E+03  -1.2070541E+03  3.0959532E-01  1.2597797E-01  reflect-0
17          40          -1.2073637E+03  -1.2070640E+03  2.9972764E-01  1.2597797E-01  reflect-0
18          41          -1.2073637E+03  -1.2070890E+03  2.7476429E-01  1.2597797E-01  reflect-0
19          43          -1.2073706E+03  -1.2071095E+03  2.6114687E-01  1.0232779E-01  reflect-1
20          44          -1.2073706E+03  -1.2071340E+03  2.3663550E-01  1.0232779E-01  reflect-0
21          46          -1.2073706E+03  -1.2071972E+03  1.7338302E-01  1.0232779E-01  contract outside
