Starting Dynare (version 7-unstable).
Calling Dynare with arguments: none
Using build directory: /Users/wmutschl/Work/Forschung/Projects/Skewed_Kalman/replication_codes/dynare-csn/matlab/../build-matlab
Starting preprocessing of the model file ...
Found 8 equation(s).
Evaluating expressions...
Computing static model derivatives (order 1).
Normalizing the static model...
Finding the optimal block decomposition of the static model...
6 block(s) found:
  5 recursive block(s) and 1 simultaneous block(s).
  the largest simultaneous block has 2 equation(s)
                                 and 2 feedback variable(s).
Computing dynamic model derivatives (order 2).
Normalizing the dynamic model...
Finding the optimal block decomposition of the dynamic model...
2 block(s) found:
  1 recursive block(s) and 1 simultaneous block(s).
  the largest simultaneous block has 5 equation(s)
                                 and 5 feedback variable(s).
Preprocessing completed.
Preprocessing time: 0h00m00s.

You did not declare endogenous variables after the estimation/calib_smoother command.
Initial value of the log posterior (or likelihood): 1206.2242

Simplex initialization...
Done!

Objective function value: -1206.7545

#Iter.      #FnCalls.   Best Value      Worst Value     Norm(f)        Norm(x)        Move
22          48          -1.2074054E+03  -1.2072036E+03  2.0183637E-01  1.0632410E-01  reflect-1
23          49          -1.2074054E+03  -1.2072066E+03  1.9881511E-01  1.0632410E-01  reflect-0
24          51          -1.2074054E+03  -1.2072153E+03  1.9010944E-01  1.0632410E-01  contract inside
25          53          -1.2074054E+03  -1.2072350E+03  1.7047084E-01  1.0632410E-01  contract inside
26          55          -1.2074096E+03  -1.2072873E+03  1.2225915E-01  1.0753768E-01  contract inside
27          56          -1.2074096E+03  -1.2073188E+03  9.0765745E-02  1.0753768E-01  reflect-0
28          58          -1.2074096E+03  -1.2073491E+03  6.0474043E-02  8.3720683E-02  contract outside
29          60          -1.2074781E+03  -1.2073491E+03  1.2895413E-01  7.8876851E-02  reflect-1
30          61          -1.2074781E+03  -1.2073637E+03  1.1433035E-01  7.8876851E-02  reflect-0
31          62          -1.2074781E+03  -1.2073696E+03  1.0844529E-01  6.5523354E-02  reflect-0
32          64          -1.2074781E+03  -1.2073705E+03  1.0759579E-01  6.5523354E-02  contract inside
33          65          -1.2074781E+03  -1.2073706E+03  1.0745494E-01  6.5523354E-02  reflect-0
34          66          -1.2074781E+03  -1.2073765E+03  1.0161504E-01  6.5523354E-02  reflect-0
35          68          -1.2074781E+03  -1.2073836E+03  9.4440717E-02  6.5523354E-02  contract inside
36          69          -1.2074781E+03  -1.2073893E+03  8.8728986E-02  6.5523354E-02  reflect-0
37          71          -1.2074781E+03  -1.2074054E+03  7.2626003E-02  6.5523354E-02  contract inside
38          73          -1.2074781E+03  -1.2074094E+03  6.8634043E-02  6.5523354E-02  contract inside
39          74          -1.2074781E+03  -1.2074096E+03  6.8499310E-02  6.5523354E-02  reflect-0
40          75          -1.2074781E+03  -1.2074191E+03  5.8981900E-02  6.5523354E-02  reflect-0
41          77          -1.2074781E+03  -1.2074344E+03  4.3631015E-02  6.5523354E-02  contract outside
42          79          -1.2074781E+03  -1.2074364E+03  4.1717245E-02  3.3714029E-02  contract inside
43          81          -1.2074781E+03  -1.2074473E+03  3.0741486E-02  3.3714029E-02  contract inside
44          83          -1.2074986E+03  -1.2074501E+03  4.8507565E-02  3.6491112E-02  reflect-1
45          85          -1.2074986E+03  -1.2074506E+03  4.7968766E-02  3.6491112E-02  contract inside
46          87          -1.2074986E+03  -1.2074525E+03  4.6141607E-02  2.0503640E-02  contract inside
47          89          -1.2074986E+03  -1.2074555E+03  4.3069430E-02  2.0503640E-02  contract inside
48          90          -1.2074986E+03  -1.2074587E+03  3.9876443E-02  2.0503640E-02  reflect-0
49          92          -1.2074986E+03  -1.2074662E+03  3.2402388E-02  2.0503640E-02  contract inside

#Iter.      #FnCalls.   Best Value      Worst Value     Norm(f)        Norm(x)        Move
50          94          -1.2074986E+03  -1.2074686E+03  2.9980335E-02  2.0503640E-02  contract inside
51          95          -1.2074986E+03  -1.2074708E+03  2.7766661E-02  2.0503640E-02  reflect-0
52          96          -1.2074986E+03  -1.2074759E+03  2.2712725E-02  3.4758061E-02  reflect-0
53          98          -1.2074986E+03  -1.2074781E+03  2.0534221E-02  3.4758061E-02  contract inside
54          99          -1.2074986E+03  -1.2074785E+03  2.0082850E-02  3.4758061E-02  reflect-0
55          100         -1.2074986E+03  -1.2074787E+03  1.9923599E-02  3.4758061E-02  reflect-0
56          106         -1.2075095E+03  -1.2074809E+03  2.8595480E-02  3.4191037E-02  expand-opt
57          107         -1.2075095E+03  -1.2074813E+03  2.8205136E-02  3.4191037E-02  reflect-0
58          108         -1.2075095E+03  -1.2074823E+03  2.7198263E-02  3.4191037E-02  reflect-0
59          110         -1.2075110E+03  -1.2074844E+03  2.6587029E-02  3.0219741E-02  reflect-1
60          111         -1.2075110E+03  -1.2074864E+03  2.4586440E-02  3.0219741E-02  reflect-0
61          112         -1.2075110E+03  -1.2074866E+03  2.4396512E-02  3.4210940E-02  reflect-0
62          113         -1.2075110E+03  -1.2074882E+03  2.2820203E-02  3.4210940E-02  reflect-0
63          114         -1.2075110E+03  -1.2074894E+03  2.1605247E-02  3.4210940E-02  reflect-0
64          116         -1.2075135E+03  -1.2074896E+03  2.3909882E-02  2.8032015E-02  reflect-1
65          118         -1.2075228E+03  -1.2074905E+03  3.2319792E-02  2.4344757E-02  reflect-1
66          119         -1.2075228E+03  -1.2074934E+03  2.9363777E-02  4.2171665E-02  reflect-0
67          120         -1.2075228E+03  -1.2074986E+03  2.4205493E-02  4.2171665E-02  reflect-0
68          122         -1.2075239E+03  -1.2074999E+03  2.4021379E-02  2.2528244E-02  reflect-1
69          123         -1.2075239E+03  -1.2075002E+03  2.3684920E-02  2.2528244E-02  reflect-0
70          124         -1.2075239E+03  -1.2075044E+03  1.9517851E-02  2.2528244E-02  reflect-0
71          126         -1.2075239E+03  -1.2075055E+03  1.8395272E-02  2.2528244E-02  contract inside
72          127         -1.2075239E+03  -1.2075095E+03  1.4388121E-02  2.2528244E-02  reflect-0
73          129         -1.2075266E+03  -1.2075097E+03  1.6955446E-02  1.7246974E-02  reflect-1
74          130         -1.2075266E+03  -1.2075106E+03  1.6036801E-02  1.7246974E-02  reflect-0
75          131         -1.2075266E+03  -1.2075110E+03  1.5603523E-02  1.7246974E-02  reflect-0
76          133         -1.2075322E+03  -1.2075122E+03  2.0039960E-02  1.7008026E-02  reflect-1
77          135         -1.2075322E+03  -1.2075135E+03  1.8757685E-02  1.7008026E-02  contract inside
78          136         -1.2075322E+03  -1.2075153E+03  1.6989180E-02  1.7008026E-02  reflect-0
79          138         -1.2075322E+03  -1.2075163E+03  1.5900138E-02  1.7008026E-02  contract inside
80          140         -1.2075322E+03  -1.2075178E+03  1.4475181E-02  1.7008026E-02  contract inside
81          141         -1.2075322E+03  -1.2075186E+03  1.3631499E-02  1.7008026E-02  reflect-0
82          142         -1.2075322E+03  -1.2075192E+03  1.2995829E-02  1.1364167E-02  reflect-0
83          143         -1.2075322E+03  -1.2075219E+03  1.0358803E-02  1.1364167E-02  reflect-0
84          144         -1.2075322E+03  -1.2075223E+03  9.9036165E-03  1.1364167E-02  reflect-0
85          146         -1.2075322E+03  -1.2075228E+03  9.4301279E-03  1.1364167E-02  contract inside
86          148         -1.2075338E+03  -1.2075239E+03  9.8625839E-03  2.4073445E-02  reflect-1
87          149         -1.2075338E+03  -1.2075244E+03  9.3772227E-03  2.4073445E-02  reflect-0
88          150         -1.2075338E+03  -1.2075246E+03  9.1832425E-03  2.4073445E-02  reflect-0
89          152         -1.2075338E+03  -1.2075259E+03  7.8829047E-03  2.4073445E-02  contract outside
90          153         -1.2075338E+03  -1.2075261E+03  7.6754244E-03  2.4073445E-02  reflect-0
91          155         -1.2075355E+03  -1.2075264E+03  9.1221528E-03  1.4966178E-02  reflect-1
92          156         -1.2075355E+03  -1.2075266E+03  8.8550991E-03  1.4966178E-02  reflect-0
93          158         -1.2075366E+03  -1.2075291E+03  7.4962043E-03  1.3090290E-02  reflect-1
94          159         -1.2075366E+03  -1.2075296E+03  6.9672690E-03  1.2096683E-02  reflect-0
95          161         -1.2075368E+03  -1.2075297E+03  7.1612074E-03  1.8297133E-02  reflect-1
96          163         -1.2075368E+03  -1.2075302E+03  6.5987779E-03  1.6703115E-02  contract inside
97          165         -1.2075394E+03  -1.2075309E+03  8.5689587E-03  1.5793924E-02  reflect-1
98          166         -1.2075394E+03  -1.2075314E+03  8.0707487E-03  1.5793924E-02  reflect-0
99          167         -1.2075394E+03  -1.2075322E+03  7.1899518E-03  1.5793924E-02  reflect-0

#Iter.      #FnCalls.   Best Value      Worst Value     Norm(f)        Norm(x)        Move
100         168         -1.2075394E+03  -1.2075326E+03  6.8390041E-03  1.5793924E-02  reflect-0
101         170         -1.2075394E+03  -1.2075338E+03  5.6542914E-03  1.5793924E-02  contract outside
102         171         -1.2075394E+03  -1.2075353E+03  4.1182413E-03  1.1478747E-02  reflect-0
103         172         -1.2075394E+03  -1.2075355E+03  3.9821018E-03  1.1478747E-02  reflect-0
104         173         -1.2075394E+03  -1.2075355E+03  3.9406971E-03  1.1478747E-02  reflect-0
105         174         -1.2075394E+03  -1.2075358E+03  3.5902250E-03  1.1478747E-02  reflect-0
106         176         -1.2075397E+03  -1.2075360E+03  3.7741267E-03  1.0427286E-02  contract inside
107         177         -1.2075397E+03  -1.2075366E+03  3.1507335E-03  1.0427286E-02  reflect-0
108         178         -1.2075397E+03  -1.2075367E+03  3.0534026E-03  1.0427286E-02  reflect-0
109         180         -1.2075400E+03  -1.2075368E+03  3.1554618E-03  1.0752624E-02  contract inside
110         181         -1.2075400E+03  -1.2075376E+03  2.4351365E-03  1.0752624E-02  reflect-0
111         182         -1.2075400E+03  -1.2075376E+03  2.3737510E-03  1.0752624E-02  reflect-0
112         184         -1.2075403E+03  -1.2075379E+03  2.3898154E-03  1.1928671E-02  contract inside
113         186         -1.2075403E+03  -1.2075380E+03  2.2411244E-03  1.1928671E-02  contract inside
114         188         -1.2075405E+03  -1.2075381E+03  2.4034204E-03  6.7018436E-03  contract inside
115         189         -1.2075405E+03  -1.2075384E+03  2.1107792E-03  1.2408497E-02  reflect-0
116         190         -1.2075405E+03  -1.2075384E+03  2.0997270E-03  1.2408497E-02  reflect-0
117         192         -1.2075406E+03  -1.2075389E+03  1.6927868E-03  8.4643071E-03  contract inside
118         194         -1.2075407E+03  -1.2075389E+03  1.8194971E-03  8.9879020E-03  contract inside
119         196         -1.2075407E+03  -1.2075390E+03  1.6991098E-03  8.9879020E-03  contract outside
120         198         -1.2075407E+03  -1.2075394E+03  1.2819716E-03  8.9879020E-03  contract inside
121         200         -1.2075407E+03  -1.2075397E+03  1.0002746E-03  9.8412904E-03  contract inside
122         202         -1.2075409E+03  -1.2075400E+03  8.8347893E-04  7.6394959E-03  contract inside
123         204         -1.2075409E+03  -1.2075402E+03  7.6983031E-04  7.4903698E-03  contract inside
124         206         -1.2075413E+03  -1.2075402E+03  1.0669931E-03  9.8742819E-03  reflect-1
125         208         -1.2075413E+03  -1.2075403E+03  1.0191871E-03  5.4853339E-03  contract inside
126         210         -1.2075413E+03  -1.2075405E+03  7.6185357E-04  5.4853339E-03  contract outside
127         211         -1.2075413E+03  -1.2075405E+03  7.6053989E-04  5.4853339E-03  reflect-0
128         213         -1.2075413E+03  -1.2075406E+03  7.3920340E-04  5.4853339E-03  contract inside
129         214         -1.2075413E+03  -1.2075406E+03  6.9461704E-04  5.4853339E-03  reflect-0
130         215         -1.2075413E+03  -1.2075407E+03  6.3457596E-04  5.4853339E-03  reflect-0
131         217         -1.2075413E+03  -1.2075407E+03  5.9441457E-04  5.4853339E-03  contract inside
132         218         -1.2075413E+03  -1.2075407E+03  5.8200025E-04  5.4853339E-03  reflect-0
133         219         -1.2075413E+03  -1.2075409E+03  4.3777959E-04  5.4853339E-03  reflect-0
134         220         -1.2075413E+03  -1.2075409E+03  3.7163382E-04  5.4853339E-03  reflect-0
135         221         -1.2075413E+03  -1.2075410E+03  2.6663542E-04  5.4853339E-03  reflect-0
136         222         -1.2075413E+03  -1.2075410E+03  2.6262686E-04  3.5666518E-03  reflect-0
137         224         -1.2075414E+03  -1.2075411E+03  3.9171954E-04  4.6828636E-03  reflect-1
138         225         -1.2075414E+03  -1.2075411E+03  3.8932861E-04  4.6828636E-03  reflect-0
139         226         -1.2075414E+03  -1.2075411E+03  3.6036334E-04  4.6828636E-03  reflect-0
140         228         -1.2075417E+03  -1.2075411E+03  6.1143191E-04  4.8563242E-03  reflect-1
141         229         -1.2075417E+03  -1.2075411E+03  5.9522761E-04  4.8563242E-03  reflect-0
142         230         -1.2075417E+03  -1.2075411E+03  5.7098865E-04  4.8563242E-03  reflect-0
143         232         -1.2075418E+03  -1.2075412E+03  5.4861959E-04  3.3555110E-03  reflect-1
144         234         -1.2075418E+03  -1.2075412E+03  5.4196167E-04  3.3555110E-03  contract inside
145         236         -1.2075418E+03  -1.2075413E+03  5.0927807E-04  3.3555110E-03  contract inside
146         237         -1.2075418E+03  -1.2075413E+03  4.9899926E-04  3.2187389E-03  reflect-0
147         239         -1.2075418E+03  -1.2075413E+03  4.9735227E-04  3.2187389E-03  contract inside
148         240         -1.2075418E+03  -1.2075413E+03  4.6307154E-04  3.2187389E-03  reflect-0
149         241         -1.2075418E+03  -1.2075413E+03  4.5543111E-04  3.9736609E-03  reflect-0

#Iter.      #FnCalls.   Best Value      Worst Value     Norm(f)        Norm(x)        Move
150         242         -1.2075418E+03  -1.2075413E+03  4.1900688E-04  3.9736609E-03  reflect-0
151         243         -1.2075418E+03  -1.2075414E+03  3.1905537E-04  3.9736609E-03  reflect-0
152         245         -1.2075419E+03  -1.2075415E+03  3.5661097E-04  3.9726761E-03  reflect-1
153         247         -1.2075419E+03  -1.2075415E+03  3.2784955E-04  2.2816734E-03  contract inside
154         249         -1.2075419E+03  -1.2075415E+03  3.0722868E-04  2.1534892E-03  contract inside
155         251         -1.2075419E+03  -1.2075416E+03  2.9462191E-04  2.1237046E-03  reflect-1
156         253         -1.2075419E+03  -1.2075416E+03  3.1443080E-04  1.5598367E-03  reflect-1
157         255         -1.2075419E+03  -1.2075416E+03  2.9594977E-04  1.5580373E-03  contract inside
158         257         -1.2075420E+03  -1.2075417E+03  3.2776883E-04  2.2780076E-03  reflect-1
159         258         -1.2075420E+03  -1.2075417E+03  3.2665180E-04  2.2780076E-03  reflect-0
160         259         -1.2075420E+03  -1.2075417E+03  3.1173819E-04  2.2780076E-03  reflect-0
161         260         -1.2075420E+03  -1.2075418E+03  2.7423405E-04  2.2780076E-03  reflect-0
162         261         -1.2075420E+03  -1.2075418E+03  2.7245835E-04  2.2780076E-03  reflect-0
163         262         -1.2075420E+03  -1.2075418E+03  2.6518199E-04  2.2780076E-03  reflect-0
164         264         -1.2075421E+03  -1.2075418E+03  2.3713337E-04  2.7486723E-03  reflect-1
165         265         -1.2075421E+03  -1.2075418E+03  2.3057044E-04  2.7304358E-03  reflect-0
166         267         -1.2075421E+03  -1.2075419E+03  2.4144077E-04  2.3506616E-03  reflect-1
167         269         -1.2075421E+03  -1.2075419E+03  2.3594732E-04  2.3506616E-03  contract inside
168         270         -1.2075421E+03  -1.2075419E+03  2.3335890E-04  2.3506616E-03  reflect-0
169         272         -1.2075422E+03  -1.2075419E+03  2.7671180E-04  1.6549227E-03  reflect-1
170         273         -1.2075422E+03  -1.2075419E+03  2.4577409E-04  1.6549227E-03  reflect-0
171         275         -1.2075422E+03  -1.2075419E+03  3.0437489E-04  3.1354772E-03  reflect-1
172         276         -1.2075422E+03  -1.2075420E+03  2.4921235E-04  3.1354772E-03  reflect-0
173         277         -1.2075422E+03  -1.2075420E+03  2.4747668E-04  3.1354772E-03  reflect-0
174         279         -1.2075422E+03  -1.2075420E+03  2.4626170E-04  3.1354772E-03  contract inside
175         281         -1.2075422E+03  -1.2075420E+03  2.3576156E-04  3.1354772E-03  contract outside
176         283         -1.2075422E+03  -1.2075420E+03  2.1444018E-04  3.1354772E-03  contract inside
177         284         -1.2075422E+03  -1.2075420E+03  1.9427047E-04  3.1354772E-03  reflect-0
178         285         -1.2075422E+03  -1.2075420E+03  1.8177358E-04  2.2498732E-03  reflect-0
179         286         -1.2075422E+03  -1.2075420E+03  1.7638765E-04  2.2498732E-03  reflect-0
180         287         -1.2075422E+03  -1.2075421E+03  1.5479233E-04  2.2498732E-03  reflect-0
181         288         -1.2075422E+03  -1.2075421E+03  1.5373374E-04  2.2498732E-03  reflect-0
182         289         -1.2075422E+03  -1.2075421E+03  1.2134002E-04  1.7010562E-03  reflect-0
183         290         -1.2075422E+03  -1.2075421E+03  1.0846075E-04  1.7010562E-03  reflect-0
184         292         -1.2075423E+03  -1.2075421E+03  1.5317247E-04  1.9490736E-03  reflect-1
185         305         -1.2075423E+03  -1.2075421E+03  2.2356902E-04  2.3002947E-03  expand-opt
186         306         -1.2075423E+03  -1.2075421E+03  2.0072826E-04  2.0797930E-03  reflect-0
187         307         -1.2075423E+03  -1.2075422E+03  1.8723886E-04  2.0797930E-03  reflect-0
188         320         -1.2075424E+03  -1.2075422E+03  2.2770582E-04  3.6100437E-03  expand-opt
189         321         -1.2075424E+03  -1.2075422E+03  2.2596127E-04  3.6100437E-03  reflect-0
190         322         -1.2075424E+03  -1.2075422E+03  2.0745160E-04  3.6100437E-03  reflect-0
191         332         -1.2075424E+03  -1.2075422E+03  2.5556757E-04  2.3398601E-03  expand-opt
192         333         -1.2075424E+03  -1.2075422E+03  2.4249307E-04  2.3398601E-03  reflect-0
193         334         -1.2075424E+03  -1.2075422E+03  2.4123991E-04  2.3398601E-03  reflect-0
194         335         -1.2075424E+03  -1.2075422E+03  2.3124672E-04  2.3398601E-03  reflect-0
195         336         -1.2075424E+03  -1.2075422E+03  2.2911053E-04  2.9214871E-03  reflect-0
196         337         -1.2075424E+03  -1.2075422E+03  2.1148771E-04  2.9214871E-03  reflect-0
197         338         -1.2075424E+03  -1.2075422E+03  2.0436790E-04  2.9214871E-03  reflect-0
198         339         -1.2075424E+03  -1.2075423E+03  1.7940216E-04  3.4619075E-03  reflect-0
199         341         -1.2075425E+03  -1.2075423E+03  2.2847599E-04  3.0740911E-03  reflect-1

#Iter.      #FnCalls.   Best Value      Worst Value     Norm(f)        Norm(x)        Move
200         342         -1.2075425E+03  -1.2075423E+03  2.2112921E-04  3.0740911E-03  reflect-0
201         344         -1.2075426E+03  -1.2075423E+03  2.3612269E-04  2.5545485E-03  reflect-1
202         345         -1.2075426E+03  -1.2075424E+03  1.8865616E-04  2.5545485E-03  reflect-0
203         347         -1.2075426E+03  -1.2075424E+03  1.8765880E-04  2.5545485E-03  contract inside
204         349         -1.2075426E+03  -1.2075424E+03  2.0798185E-04  2.1026309E-03  reflect-1
205         350         -1.2075426E+03  -1.2075424E+03  2.0053611E-04  2.1026309E-03  reflect-0
206         351         -1.2075426E+03  -1.2075424E+03  1.9389110E-04  2.1026309E-03  reflect-0
207         352         -1.2075426E+03  -1.2075424E+03  1.6965391E-04  2.1026309E-03  reflect-0
208         353         -1.2075426E+03  -1.2075424E+03  1.6754743E-04  2.1026309E-03  reflect-0
209         354         -1.2075426E+03  -1.2075424E+03  1.6322723E-04  2.1026309E-03  reflect-0
210         359         -1.2075427E+03  -1.2075425E+03  2.5994313E-04  6.0153678E-03  expand-opt
211         360         -1.2075427E+03  -1.2075425E+03  2.4222294E-04  6.0153678E-03  reflect-0
212         361         -1.2075427E+03  -1.2075425E+03  2.3195708E-04  6.0153678E-03  reflect-0
213         362         -1.2075427E+03  -1.2075425E+03  2.1591197E-04  6.0153678E-03  reflect-0
214         364         -1.2075427E+03  -1.2075425E+03  2.1564008E-04  3.1564391E-03  reflect-1
215         365         -1.2075427E+03  -1.2075425E+03  2.1229630E-04  3.1564391E-03  reflect-0
216         367         -1.2075428E+03  -1.2075425E+03  2.4245185E-04  3.2122545E-03  reflect-1
217         368         -1.2075428E+03  -1.2075425E+03  2.2451926E-04  3.2122545E-03  reflect-0
218         369         -1.2075428E+03  -1.2075425E+03  2.2148030E-04  3.2122545E-03  reflect-0
219         370         -1.2075428E+03  -1.2075426E+03  2.1704928E-04  3.2122545E-03  reflect-0
220         372         -1.2075428E+03  -1.2075426E+03  2.5525581E-04  2.9383416E-03  reflect-1
221         373         -1.2075428E+03  -1.2075426E+03  2.3627631E-04  2.9383416E-03  reflect-0
222         375         -1.2075428E+03  -1.2075426E+03  2.2596598E-04  4.2796369E-03  reflect-1
223         381         -1.2075430E+03  -1.2075426E+03  3.7284495E-04  7.9234771E-03  expand-opt
224         382         -1.2075430E+03  -1.2075427E+03  3.0208473E-04  6.5408517E-03  reflect-0
225         383         -1.2075430E+03  -1.2075427E+03  2.8794869E-04  6.3091554E-03  reflect-0
226         384         -1.2075430E+03  -1.2075427E+03  2.6521065E-04  6.3091554E-03  reflect-0
227         385         -1.2075430E+03  -1.2075427E+03  2.5042627E-04  6.3091554E-03  reflect-0
228         387         -1.2075430E+03  -1.2075427E+03  2.7271242E-04  5.4487828E-03  reflect-1
229         388         -1.2075430E+03  -1.2075428E+03  2.4986906E-04  5.4487828E-03  reflect-0
230         389         -1.2075430E+03  -1.2075428E+03  2.4836445E-04  5.4487828E-03  reflect-0
231         435         -1.2075434E+03  -1.2075428E+03  6.2693187E-04  1.9344811E-02  expand-opt
232         436         -1.2075434E+03  -1.2075428E+03  6.2645459E-04  1.9344811E-02  reflect-0
233         437         -1.2075434E+03  -1.2075428E+03  6.0992946E-04  1.9344811E-02  reflect-0
234         438         -1.2075434E+03  -1.2075428E+03  6.0637820E-04  1.7564678E-02  reflect-0
235         439         -1.2075434E+03  -1.2075428E+03  5.9641499E-04  1.7564678E-02  reflect-0
236         440         -1.2075434E+03  -1.2075429E+03  5.8074914E-04  1.7401624E-02  reflect-0
237         461         -1.2075438E+03  -1.2075429E+03  8.1071328E-04  1.8213914E-02  expand-opt
238         462         -1.2075438E+03  -1.2075430E+03  7.7813070E-04  1.8213914E-02  reflect-0
239         463         -1.2075438E+03  -1.2075430E+03  7.7678356E-04  1.5378700E-02  reflect-0
240         464         -1.2075438E+03  -1.2075430E+03  7.4161354E-04  1.5378700E-02  reflect-0
241         465         -1.2075438E+03  -1.2075431E+03  6.7694540E-04  1.5378700E-02  reflect-0
242         466         -1.2075438E+03  -1.2075431E+03  6.1886970E-04  1.1625664E-02  reflect-0
243         470         -1.2075441E+03  -1.2075432E+03  9.2877280E-04  1.8951145E-02  expand-opt
244         476         -1.2075443E+03  -1.2075433E+03  1.0362049E-03  3.3433403E-02  expand-opt
245         477         -1.2075443E+03  -1.2075433E+03  1.0192267E-03  3.3433081E-02  reflect-0
246         478         -1.2075443E+03  -1.2075434E+03  8.9133392E-04  2.8665510E-02  reflect-0
247         479         -1.2075443E+03  -1.2075435E+03  7.9878323E-04  2.8665510E-02  reflect-0
248         480         -1.2075443E+03  -1.2075435E+03  7.9335808E-04  2.4962428E-02  reflect-0
249         481         -1.2075443E+03  -1.2075437E+03  6.6203804E-04  2.4962428E-02  reflect-0

#Iter.      #FnCalls.   Best Value      Worst Value     Norm(f)        Norm(x)        Move
250         482         -1.2075443E+03  -1.2075437E+03  6.4366762E-04  2.4962428E-02  reflect-0
251         500         -1.2075446E+03  -1.2075437E+03  8.2893731E-04  1.4054352E-02  expand-opt
252         501         -1.2075446E+03  -1.2075437E+03  8.2238220E-04  1.7869695E-02  reflect-0
253         502         -1.2075446E+03  -1.2075438E+03  7.9589968E-04  1.7869695E-02  reflect-0
254         503         -1.2075446E+03  -1.2075440E+03  5.9460399E-04  2.8610408E-02  reflect-0
255         504         -1.2075446E+03  -1.2075440E+03  5.2943859E-04  2.8610408E-02  reflect-0
256         505         -1.2075446E+03  -1.2075441E+03  4.8767622E-04  2.8610408E-02  reflect-0
257         506         -1.2075446E+03  -1.2075441E+03  4.4460450E-04  2.8610408E-02  reflect-0
258         508         -1.2075446E+03  -1.2075441E+03  4.4043120E-04  2.1623060E-02  reflect-1
259         509         -1.2075446E+03  -1.2075441E+03  4.3488259E-04  2.0585661E-02  reflect-0
260         510         -1.2075446E+03  -1.2075442E+03  3.1893339E-04  2.0585661E-02  reflect-0
261         511         -1.2075446E+03  -1.2075442E+03  3.0849618E-04  2.0585661E-02  reflect-0
262         513         -1.2075446E+03  -1.2075443E+03  2.9724879E-04  1.4894189E-02  contract inside
263         514         -1.2075446E+03  -1.2075443E+03  2.6178215E-04  1.4894189E-02  reflect-0
264         516         -1.2075446E+03  -1.2075443E+03  3.5020663E-04  1.7331744E-02  reflect-1
265         517         -1.2075446E+03  -1.2075443E+03  3.1798454E-04  1.7331744E-02  reflect-0
266         518         -1.2075446E+03  -1.2075443E+03  3.0756074E-04  1.7331744E-02  reflect-0
267         519         -1.2075446E+03  -1.2075444E+03  2.5265348E-04  1.7331744E-02  reflect-0
